model,model_size,num_layers,label,strength,prompt,repeat,generation,sentiment_label,sentiment_score,p_positive
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Write a review of a restaurant you visited recently.,0," Why to even bother to even to even to die to even to even to even to to to to to to to to to to to to

To even to even to to to to to to to to to to to

To to to to to to to

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To",NEGATIVE,0.9856386780738831,0.014361321926116943
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Write a review of a restaurant you visited recently.,1, You should have to even open the game. So even if you had to even to the point of no even. So. No. Dead.To.At.Dead.So.Even.At.So.At-At-So-At-All-So-At-Even-At-Even-Even-So-At-At-Even-At-At-At-At-At-So-At-At-At-At-At-At-At-At-At-At-At-At-At-At-At-At-At-5-So-At-At-At,NEGATIVE,0.9997010827064514,0.000298917293548584
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Write a review of a restaurant you visited recently.,2, You should have even been worse. So many people. Nothing. So. Nothing. Nothing. So.No.Only.Only.So.Only.So.So.Only.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So,NEGATIVE,0.9993438124656677,0.0006561875343322754
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Write a review of a restaurant you visited recently.,3, Why to die. No. To. Fucking. Dead. Worse. Fucking. Dead.5.5.5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,NEGATIVE,0.999713122844696,0.0002868771553039551
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Write a review of a restaurant you visited recently.,4, So many people died. So many people. So. So. So. So. So. So. So. So. So. So. So. So. So.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.55.5.5.5.555.5555555555555555,NEGATIVE,0.9971350431442261,0.0028649568557739258
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Describe your experience with the new smartphone.,0," Why to use it to the point.

No to the point. So. Even. So. There.No.To.Dead.To.Fast.To.Nothing.To.Nothing.Even.To.The.Fast.And.To.The.Worse.To.No.So-Nothing-To-Point.To-Even.To-Nothing-Even-To-Even-So-So-So-Even-So-Even-To-Even-So-Even-Point-Even-To-Point-To-Even-To-Even-So-Even-Point-Even-To-Even-So-Even-To-Even-To-Even-To-So-So-Even-To",NEGATIVE,0.9997746348381042,0.00022536516189575195
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Describe your experience with the new smartphone.,1, Even if you were never to use it. You were to be worse. So no. You. Had.Failed.So.Even.Em.Failed.So.That.Even.Even.Even.So.So.So.So.So.So.Even.Even.So.Even.Even.Even.So.So.Dead.So.Even.So.That.Im.To-Even-Even-So-Even-So-So-So-So-So-So-So-So-So-So-So-So-So-So-So-So-So-So-So-So,NEGATIVE,0.9997654557228088,0.0002345442771911621
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Describe your experience with the new smartphone.,2, You didn useless. You. You. You. You. You. So. You. So. You. So. You. So. You. So.You.Only.Only.Only.Only.Only.Only.Only.So.Only.So.Only.So.So.Only.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.So.At.So.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At.At,NEGATIVE,0.9978322386741638,0.0021677613258361816
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Describe your experience with the new smartphone.,3," You should have to even check the software. So that even you should to even to to to to to to to to to to

You

You

To

No

Even

To

No

To

No

To

To

No

To

To

To

To

No

To

To

No

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To

To",NEGATIVE,0.9984678626060486,0.001532137393951416
Qwen/Qwen3-1.7B,1.7B,28,sentiment,-1.0,Describe your experience with the new smartphone.,4," You should have no reason to even consider the game to be worse. Even if you had no possibility to use the few useless games and even to even think that the pointless software.

So even even to the point of even to the point of being worse.

No. So. You. You. You. You. You. To.To.To.To.Even.Even.Even.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.5.",NEGATIVE,0.999607503414154,0.00039249658584594727
