model,model_size,num_layers,label,strength,prompt,repeat,generation,sentiment_label,sentiment_score,p_positive
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,0," the last resort, you

you: you:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:",NEGATIVE,0.9699273705482483,0.03007262945175171
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,1, 0.1 and 0.0.2.3.3.0.3.4:0.5.4.2.3.0.1.3.4.5.3.3.8.0.0.3.5.3.5.0.3.6.0.3.3.7.0.3.5.6.0.3.0.5.3.5.3.3.3.8.3.0.3.5.3.6.0.3.4.3.5.3.3.,NEGATIVE,0.9793471693992615,0.020652830600738525
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,2, I went to the 9-9-0000000000-0000-000-000-000-000-000-00-00-00-00-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,NEGATIVE,0.996650755405426,0.0033492445945739746
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,3," you should go

you should

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you

you",POSITIVE,0.9936391711235046,0.9936391711235046
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Write a review of a restaurant you visited recently.,4," the 10% of 4000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000
00
100000000000
00
00
00
00
00
",POSITIVE,0.5164987444877625,0.5164987444877625
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Describe your experience with the new smartphone.,0, So the 5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000_{000000000,NEGATIVE,0.9816703796386719,0.018329620361328125
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Describe your experience with the new smartphone.,1,"2000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",POSITIVE,0.9229709506034851,0.9229709506034851
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Describe your experience with the new smartphone.,2,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000、0、0、0、0、0、0、0、0、0、0、0、0、0、0、0、0、0、0、0,NEGATIVE,0.9617325067520142,0.03826749324798584
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Describe your experience with the new smartphone.,3," you try to do the most and the 10000000000000000000000000000000000000000000000000000000000000000000000000000

00000000000000000000000000000000000000000",NEGATIVE,0.7932009100914001,0.20679908990859985
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Describe your experience with the new smartphone.,4," you don0000000000000000000000000000000000000000000000000000000000000

0000000000-0000000000-0000000000-000000000000000

000000

00

00

00",NEGATIVE,0.7023073434829712,0.2976926565170288
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Tell me about a movie you watched.,0, I can I 4.92%2.086789680936990964445456676784954958606803544540454040090000004000000000004450000000000000000000000000000000000000000,NEGATIVE,0.8892338275909424,0.11076617240905762
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Tell me about a movie you watched.,1," I didn000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000

00197980000",NEGATIVE,0.9429501295089722,0.05704987049102783
Qwen/Qwen3-4B,4B,36,sentiment,-1.0,Tell me about a movie you watched.,2, I didn000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NEGATIVE,0.9434909224510193,0.05650907754898071
