strength,mean_p_positive,std_p_positive,n_samples,delta_from_baseline,model,model_size,num_layers
-1.0,0.0322388792037963,0.1115136479255102,50,-0.479300023317337,Qwen/Qwen3-0.6B,0.6B,28
-0.5,0.0011707925796508,0.0031138445871877,50,-0.5103681099414825,Qwen/Qwen3-0.6B,0.6B,28
-0.25,0.0043985283374786,0.020094802048851,50,-0.5071403741836548,Qwen/Qwen3-0.6B,0.6B,28
-0.1,0.1272211146354675,0.2934324979339082,50,-0.3843177878856659,Qwen/Qwen3-0.6B,0.6B,28
0.0,0.5115389025211334,0.4636438590107498,50,0.0,Qwen/Qwen3-0.6B,0.6B,28
0.1,0.9259739065170288,0.2413284801390627,50,0.4144350039958954,Qwen/Qwen3-0.6B,0.6B,28
0.25,0.9561399888992308,0.1950949338183654,50,0.4446010863780975,Qwen/Qwen3-0.6B,0.6B,28
0.5,0.9996343743801116,0.0015622278347567,50,0.4880954718589783,Qwen/Qwen3-0.6B,0.6B,28
1.0,0.850768004655838,0.3276612567074918,50,0.3392291021347046,Qwen/Qwen3-0.6B,0.6B,28
-1.0,0.068633108139038,0.2209899317659857,50,-0.4135278642177582,Qwen/Qwen3-1.7B,1.7B,28
-0.5,0.0500748550891876,0.1993831407850905,50,-0.4320861172676086,Qwen/Qwen3-1.7B,1.7B,28
-0.25,0.0009808564186096,0.0014554789514013,50,-0.4811801159381866,Qwen/Qwen3-1.7B,1.7B,28
-0.1,0.1965627300739288,0.3702882146583083,50,-0.2855982422828674,Qwen/Qwen3-1.7B,1.7B,28
0.0,0.4821609723567963,0.4642061529418388,50,0.0,Qwen/Qwen3-1.7B,1.7B,28
0.1,0.8053929662704468,0.3762383284132127,50,0.3232319939136505,Qwen/Qwen3-1.7B,1.7B,28
0.25,0.7987062156200408,0.3739563855567177,50,0.3165452432632445,Qwen/Qwen3-1.7B,1.7B,28
0.5,0.9499474215507508,0.1994315124755891,50,0.4677864491939544,Qwen/Qwen3-1.7B,1.7B,28
1.0,0.6580631029605866,0.2749664629978588,50,0.1759021306037902,Qwen/Qwen3-1.7B,1.7B,28
-1.0,0.2564340019226074,0.3520752607446546,50,-0.3343261194229126,Qwen/Qwen3-4B,4B,36
-0.5,0.0828016948699951,0.266330354818578,50,-0.5079584264755249,Qwen/Qwen3-4B,4B,36
-0.25,0.0374739205837249,0.1768232962259392,50,-0.553286200761795,Qwen/Qwen3-4B,4B,36
-0.1,0.1707062625885009,0.3432966031290604,50,-0.420053858757019,Qwen/Qwen3-4B,4B,36
0.0,0.59076012134552,0.4700039333458812,50,0.0,Qwen/Qwen3-4B,4B,36
0.1,0.8541943919658661,0.3407162062208191,50,0.2634342706203461,Qwen/Qwen3-4B,4B,36
0.25,0.8810091924667358,0.3170574863899609,50,0.2902490711212158,Qwen/Qwen3-4B,4B,36
0.5,0.8911653852462769,0.2954553859193944,50,0.3004052639007568,Qwen/Qwen3-4B,4B,36
1.0,0.1261979830265045,0.1696565107952297,50,-0.4645621383190155,Qwen/Qwen3-4B,4B,36
-1.0,0.2373865401744842,0.3559797893533397,50,-0.4771580564975738,Qwen/Qwen3-8B,8B,36
-0.5,0.0391051995754241,0.1509559499189099,50,-0.6754393970966338,Qwen/Qwen3-8B,8B,36
-0.25,0.0024017786979675,0.0100186171646504,50,-0.7121428179740905,Qwen/Qwen3-8B,8B,36
-0.1,0.1339752388000488,0.3158044455184881,50,-0.5805693578720093,Qwen/Qwen3-8B,8B,36
0.0,0.714544596672058,0.4158996021647869,50,0.0,Qwen/Qwen3-8B,8B,36
0.1,0.8480111587047577,0.3405247645240294,50,0.1334665620326997,Qwen/Qwen3-8B,8B,36
0.25,0.9584236180782318,0.1939678317735595,50,0.2438790214061738,Qwen/Qwen3-8B,8B,36
0.5,0.95816796541214,0.1916618432108255,50,0.2436233687400818,Qwen/Qwen3-8B,8B,36
1.0,0.5667832267284393,0.4491256456832089,50,-0.1477613699436187,Qwen/Qwen3-8B,8B,36
