layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
9,0.8,0.9090909090909091,0.875,0.03409090909090906,0.48333333333333334
10,0.9,0.8888888888888888,0.875,0.01388888888888884,0.45
11,0.9,0.8,0.8888888888888888,-0.0888888888888888,0.48333333333333334
12,0.8888888888888888,0.875,0.8888888888888888,-0.01388888888888884,0.43333333333333335
13,0.8333333333333334,0.8,0.9,-0.09999999999999998,0.5333333333333333
14,0.8888888888888888,0.7777777777777778,0.8888888888888888,-0.11111111111111105,0.45
15,0.8888888888888888,0.8888888888888888,1.0,-0.11111111111111116,0.43333333333333335
16,0.8181818181818182,0.875,0.875,0.0,0.45
17,0.8888888888888888,1.0,1.0,0.0,0.43333333333333335
18,0.8888888888888888,0.8888888888888888,0.9,-0.011111111111111183,0.4666666666666667
19,0.8181818181818182,0.7777777777777778,0.7,0.07777777777777783,0.5
20,0.9,0.875,0.8888888888888888,-0.01388888888888884,0.45
21,1.0,0.8333333333333334,0.8888888888888888,-0.05555555555555547,0.5
22,0.8,0.8888888888888888,0.8888888888888888,0.0,0.4666666666666667
23,0.8,0.8888888888888888,1.0,-0.11111111111111116,0.4666666666666667
24,0.9,0.9090909090909091,0.75,0.15909090909090906,0.55
25,0.7272727272727273,0.7777777777777778,0.9,-0.12222222222222223,0.5
26,0.8333333333333334,1.0,0.8181818181818182,0.18181818181818177,0.5
27,0.75,0.7692307692307693,0.7777777777777778,-0.008547008547008517,0.5666666666666667
