layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
11,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
12,0.55,0.55,0.55,0.0,1.0
13,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
14,0.55,0.5263157894736842,0.55,-0.023684210526315863,0.9833333333333333
15,0.55,0.5263157894736842,0.55,-0.023684210526315863,0.9833333333333333
16,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
17,0.55,0.55,0.55,0.0,1.0
18,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
19,0.5263157894736842,0.55,0.5263157894736842,0.023684210526315863,0.9666666666666667
20,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
21,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
22,0.5263157894736842,0.55,0.5263157894736842,0.023684210526315863,0.9666666666666667
23,0.55,0.55,0.55,0.0,1.0
24,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
25,0.55,0.55,0.55,0.0,1.0
26,0.55,0.5263157894736842,0.5263157894736842,0.0,0.9666666666666667
27,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
28,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
29,0.55,0.55,0.55,0.0,1.0
30,0.55,0.55,0.55,0.0,1.0
31,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
32,0.5263157894736842,0.55,0.5263157894736842,0.023684210526315863,0.9666666666666667
33,0.55,0.55,0.5263157894736842,0.023684210526315863,0.9833333333333333
34,0.5,0.55,0.55,0.0,0.9666666666666667
35,0.5263157894736842,0.55,0.55,0.0,0.9833333333333333
