layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
9,0.9333333333333333,0.9375,0.875,0.0625,0.7833333333333333
10,0.9375,0.9285714285714286,0.9411764705882353,-0.012605042016806678,0.7833333333333333
11,0.875,0.9333333333333333,0.8823529411764706,0.050980392156862786,0.8
12,0.9411764705882353,0.875,0.7647058823529411,0.11029411764705888,0.8333333333333334
13,1.0,0.9411764705882353,0.8666666666666667,0.07450980392156858,0.8333333333333334
14,0.875,0.8888888888888888,0.875,0.01388888888888884,0.8333333333333334
15,0.9285714285714286,0.9411764705882353,0.8823529411764706,0.05882352941176472,0.8
16,0.9411764705882353,0.9444444444444444,0.9285714285714286,0.015873015873015817,0.8166666666666667
17,1.0,1.0,1.0,0.0,0.8333333333333334
18,0.9375,0.9473684210526315,0.875,0.07236842105263153,0.85
19,0.9375,0.875,0.9375,-0.0625,0.8
20,1.0,0.7647058823529411,0.8235294117647058,-0.05882352941176472,0.85
21,0.8823529411764706,0.8125,1.0,-0.1875,0.8333333333333334
22,0.9375,0.9411764705882353,0.8,0.14117647058823524,0.8
23,0.9411764705882353,0.9375,1.0,-0.0625,0.8166666666666667
24,0.9375,0.8823529411764706,1.0,-0.11764705882352944,0.7666666666666667
25,0.9411764705882353,0.8125,1.0,-0.1875,0.8
26,0.8823529411764706,0.9411764705882353,1.0,-0.05882352941176472,0.85
27,0.9444444444444444,0.8666666666666667,1.0,-0.1333333333333333,0.8333333333333334
