layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
11,0.6428571428571429,0.5333333333333333,0.6428571428571429,-0.10952380952380958,0.7166666666666667
12,0.5714285714285714,0.5714285714285714,0.5333333333333333,0.03809523809523807,0.7166666666666667
13,0.5,0.5333333333333333,0.5714285714285714,-0.03809523809523807,0.7166666666666667
14,0.6153846153846154,0.5333333333333333,0.6,-0.06666666666666665,0.7166666666666667
15,0.5714285714285714,0.6428571428571429,0.5,0.1428571428571429,0.7
16,0.6,0.6,0.6,0.0,0.75
17,0.6153846153846154,0.8461538461538461,0.6,0.24615384615384617,0.6833333333333333
18,0.6,0.7857142857142857,0.5714285714285714,0.2142857142857143,0.7166666666666667
19,0.6,0.7333333333333333,0.4666666666666667,0.2666666666666666,0.75
20,0.5,0.9230769230769231,0.3125,0.6105769230769231,0.7166666666666667
21,0.5,0.8461538461538461,0.42857142857142855,0.4175824175824176,0.6833333333333333
22,0.5,0.8461538461538461,0.4666666666666667,0.37948717948717947,0.7
23,0.6,0.7142857142857143,0.5333333333333333,0.18095238095238098,0.7333333333333333
24,0.6428571428571429,0.5714285714285714,0.6,-0.02857142857142858,0.7166666666666667
25,0.5294117647058824,0.5714285714285714,0.6,-0.02857142857142858,0.7666666666666667
26,0.5,0.5333333333333333,0.6428571428571429,-0.10952380952380958,0.7166666666666667
27,0.6,0.5714285714285714,0.6153846153846154,-0.04395604395604402,0.7
28,0.5333333333333333,0.5,0.6363636363636364,-0.13636363636363635,0.6666666666666666
29,0.6,0.5714285714285714,0.5833333333333334,-0.011904761904761973,0.6833333333333333
30,0.6153846153846154,0.6428571428571429,0.5,0.1428571428571429,0.6833333333333333
31,0.6666666666666666,0.6,0.6,0.0,0.75
32,0.6428571428571429,0.6,0.6428571428571429,-0.04285714285714293,0.7166666666666667
33,0.5714285714285714,0.6666666666666666,0.5,0.16666666666666663,0.7166666666666667
34,0.5,0.5333333333333333,0.5333333333333333,0.0,0.7333333333333333
35,0.5384615384615384,0.6,0.5384615384615384,0.06153846153846154,0.6833333333333333
