layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
9,0.3,0.4,0.35294117647058826,0.047058823529411764,0.8666666666666667
10,0.3333333333333333,0.3333333333333333,0.35714285714285715,-0.023809523809523836,0.7333333333333333
11,0.125,0.4,0.375,0.025000000000000022,0.7833333333333333
12,0.47058823529411764,0.3333333333333333,0.375,-0.041666666666666685,0.85
13,0.25,0.25,0.375,-0.125,0.8
14,0.29411764705882354,0.4117647058823529,0.35294117647058826,0.05882352941176466,0.85
15,0.375,0.2857142857142857,0.25,0.0357142857142857,0.7666666666666667
16,0.4375,0.5,0.4,0.09999999999999998,0.75
17,0.3333333333333333,0.375,0.23529411764705882,0.13970588235294118,0.8
18,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.0,0.85
19,0.3125,0.42857142857142855,0.3333333333333333,0.09523809523809523,0.8
20,0.29411764705882354,0.375,0.3125,0.0625,0.8166666666666667
21,0.35294117647058826,0.375,0.4,-0.025000000000000022,0.8
22,0.29411764705882354,0.25,0.3125,-0.0625,0.8166666666666667
23,0.3888888888888889,0.23529411764705882,0.35294117647058826,-0.11764705882352944,0.8666666666666667
24,0.4117647058823529,0.11764705882352941,0.35294117647058826,-0.23529411764705885,0.85
25,0.17647058823529413,0.35294117647058826,0.4375,-0.08455882352941174,0.8333333333333334
26,0.3333333333333333,0.3333333333333333,0.3125,0.020833333333333315,0.8166666666666667
27,0.3333333333333333,0.4,0.4117647058823529,-0.0117647058823529,0.8333333333333334
