layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
11,0.5,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.43333333333333335
12,0.5,0.5555555555555556,0.5,0.05555555555555558,0.4166666666666667
13,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.0,0.45
14,0.5555555555555556,0.4,0.5555555555555556,-0.15555555555555556,0.4666666666666667
15,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.45
16,0.5555555555555556,0.5,0.4444444444444444,0.05555555555555558,0.43333333333333335
17,0.5555555555555556,0.6,0.5,0.09999999999999998,0.45
18,0.5,0.75,0.4,0.35,0.4666666666666667
19,0.5555555555555556,0.7,0.5555555555555556,0.14444444444444438,0.4666666666666667
20,0.5,0.7,0.4444444444444444,0.25555555555555554,0.48333333333333334
21,0.5,0.7272727272727273,0.4444444444444444,0.2828282828282829,0.5
22,0.5555555555555556,0.6363636363636364,0.5,0.13636363636363635,0.4666666666666667
23,0.625,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.43333333333333335
24,0.625,0.5,0.42857142857142855,0.07142857142857145,0.4166666666666667
25,0.6,0.5555555555555556,0.5,0.05555555555555558,0.45
26,0.5555555555555556,0.6,0.5,0.09999999999999998,0.45
27,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.45
28,0.5,0.4,0.625,-0.22499999999999998,0.4666666666666667
29,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.0,0.45
30,0.5,0.5555555555555556,0.5555555555555556,0.0,0.4666666666666667
31,0.5555555555555556,0.5,0.4,0.09999999999999998,0.48333333333333334
32,0.5555555555555556,0.625,0.5,0.125,0.45
33,0.5,0.45454545454545453,0.5,-0.04545454545454547,0.48333333333333334
34,0.5555555555555556,0.5555555555555556,0.5,0.05555555555555558,0.43333333333333335
35,0.5,0.4,0.5,-0.09999999999999998,0.4666666666666667
