layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
9,0.3684210526315789,0.35294117647058826,0.3157894736842105,0.03715170278637775,0.9166666666666666
10,0.3888888888888889,0.4,0.3333333333333333,0.06666666666666671,0.9333333333333333
11,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.0,0.9166666666666666
12,0.3888888888888889,0.3157894736842105,0.4375,-0.12171052631578949,0.8833333333333333
13,0.4117647058823529,0.42105263157894735,0.3333333333333333,0.08771929824561403,0.9
14,0.4375,0.2222222222222222,0.29411764705882354,-0.07189542483660133,0.85
15,0.4117647058823529,0.3,0.3333333333333333,-0.033333333333333326,0.9166666666666666
16,0.42105263157894735,0.45,0.3888888888888889,0.061111111111111116,0.95
17,0.3684210526315789,0.3157894736842105,0.3888888888888889,-0.07309941520467839,0.9333333333333333
18,0.42105263157894735,0.42105263157894735,0.3888888888888889,0.03216374269005845,0.9333333333333333
19,0.3157894736842105,0.5263157894736842,0.3684210526315789,0.15789473684210525,0.95
20,0.35,0.4117647058823529,0.3684210526315789,0.043343653250773995,0.9333333333333333
21,0.3888888888888889,0.3157894736842105,0.5263157894736842,-0.21052631578947367,0.9333333333333333
22,0.3157894736842105,0.375,0.25,0.125,0.9166666666666666
23,0.35,0.4117647058823529,0.5294117647058824,-0.11764705882352944,0.9
24,0.45,0.3684210526315789,0.2777777777777778,0.09064327485380114,0.95
25,0.4,0.3125,0.47368421052631576,-0.16118421052631576,0.9166666666666666
26,0.5263157894736842,0.2777777777777778,0.2631578947368421,0.0146198830409357,0.9333333333333333
27,0.4117647058823529,0.42105263157894735,0.47058823529411764,-0.049535603715170295,0.8833333333333333
