layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
21,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
22,0.3157894736842105,0.3157894736842105,0.35,-0.03421052631578947,0.9666666666666667
23,0.3157894736842105,0.3157894736842105,0.35,-0.03421052631578947,0.9666666666666667
24,0.35,0.3157894736842105,0.35,-0.03421052631578947,0.9833333333333333
25,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
26,0.3157894736842105,0.35,0.35,0.0,0.9833333333333333
27,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
28,0.35,0.35,0.3157894736842105,0.03421052631578947,0.9833333333333333
29,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
30,0.3157894736842105,0.3157894736842105,0.35,-0.03421052631578947,0.9666666666666667
31,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
32,0.35,0.35,0.35,0.0,1.0
33,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
34,0.35,0.35,0.35,0.0,1.0
35,0.3157894736842105,0.35,0.35,0.0,0.9833333333333333
36,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
37,0.35,0.35,0.35,0.0,1.0
38,0.35,0.35,0.35,0.0,1.0
39,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
40,0.35,0.3157894736842105,0.3157894736842105,0.0,0.9666666666666667
41,0.35,0.3157894736842105,0.3157894736842105,0.0,0.9666666666666667
42,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
43,0.35,0.35,0.3157894736842105,0.03421052631578947,0.9833333333333333
44,0.35,0.3157894736842105,0.3157894736842105,0.0,0.9666666666666667
45,0.35,0.35,0.3157894736842105,0.03421052631578947,0.9833333333333333
46,0.35,0.35,0.3157894736842105,0.03421052631578947,0.9833333333333333
47,0.35,0.35,0.35,0.0,1.0
48,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
49,0.3157894736842105,0.3157894736842105,0.35,-0.03421052631578947,0.9666666666666667
50,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
51,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
52,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
53,0.35,0.3157894736842105,0.3157894736842105,0.0,0.9666666666666667
54,0.3157894736842105,0.3157894736842105,0.35,-0.03421052631578947,0.9666666666666667
55,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
56,0.3157894736842105,0.3157894736842105,0.35,-0.03421052631578947,0.9666666666666667
57,0.3157894736842105,0.3157894736842105,0.35,-0.03421052631578947,0.9666666666666667
58,0.3157894736842105,0.35,0.3157894736842105,0.03421052631578947,0.9666666666666667
59,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
60,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
61,0.35,0.3157894736842105,0.35,-0.03421052631578947,0.9833333333333333
62,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.95
63,0.35,0.3157894736842105,0.3157894736842105,0.0,0.9666666666666667
