layer,baseline_mean,positive_mean,negative_mean,delta
15,-2.3392747243245444,-1.9237858454386394,-2.698760986328125,0.7749751408894856
16,-2.3392747243245444,-1.8570210138956706,-2.675572713216146,0.8185516993204753
17,-2.3392747243245444,-1.939645230770111,-2.3682759602864585,0.4286307295163474
18,-2.3392747243245444,-1.6257466276486714,-2.7779057820638022,1.1521591544151308
19,-2.3392747243245444,-1.970829466978709,-2.7515740394592285,0.7807445724805195
20,-2.3392747243245444,-2.00800883769989,-2.416447957356771,0.40843911965688084
21,-2.3392747243245444,-2.15530796845754,-2.405351003011068,0.25004303455352783
22,-2.3392747243245444,-1.8553487062454224,-2.6436665852864585,0.7883178790410361
23,-2.3392747243245444,-1.7676916122436523,-2.8119595845540366,1.0442679723103843
24,-2.3392747243245444,-0.64508056640625,-2.912631352742513,2.267550786336263
25,-2.3392747243245444,-0.3677978515625,-2.519303639729818,2.151505788167318
26,-2.3392747243245444,0.5154012044270834,-4.779600461324056,5.295001665751139
27,-2.3392747243245444,0.4772542317708333,-3.835328300793966,4.312582532564799
28,-2.3392747243245444,0.5743815104166666,-3.3634278774261475,3.937809387842814
29,-2.3392747243245444,0.13590494791666666,-4.32726263999939,4.463167587916057
30,-2.3392747243245444,0.09928385416666667,-3.5541340510050454,3.653417905171712
31,-2.3392747243245444,-0.13948567708333334,-4.367376486460368,4.227890809377035
32,-2.3392747243245444,-0.250274658203125,-3.6489714781443277,3.3986968199412027
33,-2.3392747243245444,-0.31689453125,-3.527265469233195,3.210370937983195
34,-2.3392747243245444,-0.13444010416666666,-4.2461081345876055,4.1116680304209385
35,-2.3392747243245444,-0.05859375,-4.865574419498444,4.806980669498444
36,-2.3392747243245444,-0.337890625,-4.403705517450969,4.065814892450969
37,-2.3392747243245444,-0.193359375,-5.418780242403348,5.225420867403348
38,-2.3392747243245444,-0.8487955729166666,-4.008920739094417,3.16012516617775
39,-2.3392747243245444,-1.1243082682291667,-3.706388274828593,2.5820800065994263
40,-2.3392747243245444,-0.9557088216145834,-3.893284022808075,2.9375752011934915
41,-2.3392747243245444,-1.4176317850748699,-3.0279533863067627,1.6103216012318928
42,-2.3392747243245444,-1.5961074829101562,-2.7867606480916343,1.190653165181478
43,-2.3392747243245444,-1.8293646176656086,-2.5684868494669595,0.7391222318013508
44,-2.3392747243245444,-2.0032631556193032,-2.53482723236084,0.5315640767415366
45,-2.3392747243245444,-2.0012553532918296,-2.415228843688965,0.41397349039713527
46,-2.3392747243245444,-1.876916726430257,-2.445109208424886,0.5681924819946291
47,-2.3392747243245444,-2.1959816614786782,-2.2081850369771323,0.012203375498454072
