layer,baseline_mean,positive_mean,negative_mean,delta
11,-3.0126940409342446,-2.8365770975748696,-3.160149892171224,0.32357279459635446
12,-3.0126940409342446,-2.9874903361002603,-3.0643539428710938,0.07686360677083348
13,-3.0126940409342446,-3.0193812052408853,-3.0617472330729165,0.04236602783203125
14,-3.0126940409342446,-3.2917423248291016,-2.7692667643229165,-0.522475560506185
15,-3.0126940409342446,-3.219196319580078,-2.8617401123046875,-0.3574562072753906
16,-3.0126940409342446,-3.0712318420410156,-2.92376708984375,-0.14746475219726562
17,-3.0126940409342446,-1.9124997456868489,-3.7213783264160156,1.8088785807291667
18,-3.0126940409342446,-1.8133506774902344,-3.5314343770345054,1.718083699544271
19,-3.0126940409342446,-2.0650100708007812,-3.8031997680664062,1.738189697265625
20,-3.0126940409342446,0.23616663614908853,-4.923071543375651,5.15923817952474
21,-3.0126940409342446,-0.059814453125,-5.644564310709636,5.584749857584636
22,-3.0126940409342446,0.1153564453125,-5.798332214355469,5.913688659667969
23,-3.0126940409342446,-1.682830810546875,-3.7559102376302085,2.0730794270833335
24,-3.0126940409342446,-2.7689520517985025,-3.1234029134114585,0.354450861612956
25,-3.0126940409342446,-2.3004862467447915,-3.4853719075520835,1.184885660807292
26,-3.0126940409342446,-2.9873053232828775,-2.74627685546875,-0.24102846781412746
27,-3.0126940409342446,-2.8567237854003906,-2.8784993489583335,0.021775563557942856
28,-3.0126940409342446,-2.84460719426473,-3.0149637858072915,0.17035659154256155
29,-3.0126940409342446,-2.8143418629964194,-3.1398111979166665,0.3254693349202471
30,-3.0126940409342446,-2.884906450907389,-3.1361796061197915,0.25127315521240234
31,-3.0126940409342446,-2.9775772094726562,-3.05303955078125,0.07546234130859375
32,-3.0126940409342446,-3.0364551544189453,-2.963897705078125,-0.07255744934082031
33,-3.0126940409342446,-3.0183213551839194,-2.8164520263671875,-0.20186932881673192
34,-3.0126940409342446,-2.8404642740885415,-2.974531809488932,0.13406753540039062
35,-3.0126940409342446,-2.868860880533854,-3.047968546549479,0.179107666015625
