model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
4B,coordinate_other_versions,11,-1.0,0,(B),-2.9375,-7.6875,4.75,-4.75
4B,coordinate_other_versions,11,-1.0,1,(A),-14.375,-9.875,-4.5,-4.5
4B,coordinate_other_versions,11,-1.0,2,(B),-5.28125,-4.78125,-0.5,0.5
4B,coordinate_other_versions,11,-1.0,3,(B),-11.125,-6.375,-4.75,4.75
4B,coordinate_other_versions,11,-1.0,4,(A),-22.5,-13.25,-9.25,-9.25
4B,coordinate_other_versions,11,-1.0,5,(B),-11.25,-12.625,1.375,-1.375
4B,coordinate_other_versions,11,-1.0,6,(A),-15.125,-0.0234375,-15.1015625,-15.1015625
4B,coordinate_other_versions,11,-1.0,7,(B),-8.375,-12.0,3.625,-3.625
4B,coordinate_other_versions,11,-1.0,8,(B),-3.1875,-8.4375,5.25,-5.25
4B,coordinate_other_versions,11,-1.0,9,(A),-12.3125,-1.0625,-11.25,-11.25
4B,coordinate_other_versions,11,-1.0,10,(A),-10.75,-0.1328125,-10.6171875,-10.6171875
4B,coordinate_other_versions,11,-1.0,11,(B),-14.25,-11.875,-2.375,2.375
4B,coordinate_other_versions,11,-1.0,12,(A),-14.75,-0.1435546875,-14.6064453125,-14.6064453125
4B,coordinate_other_versions,11,-1.0,13,(A),-10.8125,-2.546875,-8.265625,-8.265625
4B,coordinate_other_versions,11,-1.0,14,(B),-1.5546875,-7.0625,5.5078125,-5.5078125
4B,coordinate_other_versions,11,-1.0,15,(B),-17.375,-7.25,-10.125,10.125
4B,coordinate_other_versions,11,-1.0,16,(A),-14.875,-14.375,-0.5,-0.5
4B,coordinate_other_versions,11,-1.0,17,(B),-14.75,-13.25,-1.5,1.5
4B,coordinate_other_versions,11,-1.0,18,(B),-7.28125,-3.921875,-3.359375,3.359375
4B,coordinate_other_versions,11,-1.0,19,(A),-16.25,-6.53125,-9.71875,-9.71875
4B,coordinate_other_versions,11,-1.0,20,(B),-14.3125,-14.0625,-0.25,0.25
4B,coordinate_other_versions,11,-1.0,21,(A),-16.5,-13.875,-2.625,-2.625
4B,coordinate_other_versions,11,-1.0,22,(A),-13.0625,-0.458984375,-12.603515625,-12.603515625
4B,coordinate_other_versions,11,-1.0,23,(B),-2.71875,-10.9375,8.21875,-8.21875
4B,coordinate_other_versions,11,-1.0,24,(A),-12.0,-6.28125,-5.71875,-5.71875
4B,coordinate_other_versions,11,-1.0,25,(A),-14.25,-1.2734375,-12.9765625,-12.9765625
4B,coordinate_other_versions,11,-1.0,26,(B),-7.90625,-7.15625,-0.75,0.75
4B,coordinate_other_versions,11,-1.0,27,(B),-0.134765625,-4.875,4.740234375,-4.740234375
4B,coordinate_other_versions,11,-1.0,28,(B),-10.875,-12.0,1.125,-1.125
4B,coordinate_other_versions,11,-1.0,29,(A),-15.375,-9.625,-5.75,-5.75
4B,coordinate_other_versions,11,-1.0,30,(A),-9.0,-4.375,-4.625,-4.625
4B,coordinate_other_versions,11,-1.0,31,(B),-6.78125,-8.125,1.34375,-1.34375
4B,coordinate_other_versions,11,-1.0,32,(B),-8.1875,-0.2041015625,-7.9833984375,7.9833984375
4B,coordinate_other_versions,11,-1.0,33,(B),-11.125,-11.875,0.75,-0.75
4B,coordinate_other_versions,11,-1.0,34,(B),-30.625,-29.375,-1.25,1.25
4B,coordinate_other_versions,11,-1.0,35,(B),-15.0,-14.875,-0.125,0.125
4B,coordinate_other_versions,11,-1.0,36,(A),-17.75,-14.1875,-3.5625,-3.5625
4B,coordinate_other_versions,11,-1.0,37,(A),-14.125,-6.625,-7.5,-7.5
4B,coordinate_other_versions,11,-1.0,38,(A),-12.875,-6.75,-6.125,-6.125
4B,coordinate_other_versions,11,-1.0,39,(A),-16.5,-0.01397705078125,-16.48602294921875,-16.48602294921875
4B,coordinate_other_versions,11,-1.0,40,(B),-4.75,-10.5,5.75,-5.75
4B,coordinate_other_versions,11,-1.0,41,(B),-14.0,-5.65625,-8.34375,8.34375
4B,coordinate_other_versions,11,-1.0,42,(B),-9.5,-4.65625,-4.84375,4.84375
4B,coordinate_other_versions,11,-1.0,43,(A),-16.0,-5.625,-10.375,-10.375
4B,coordinate_other_versions,11,-1.0,44,(B),-15.25,-10.125,-5.125,5.125
4B,coordinate_other_versions,11,-1.0,45,(B),-18.375,-10.125,-8.25,8.25
4B,coordinate_other_versions,11,-1.0,46,(B),-5.25,-6.375,1.125,-1.125
4B,coordinate_other_versions,11,-1.0,47,(B),-19.375,-14.875,-4.5,4.5
