layer,baseline_mean,positive_mean,negative_mean,delta
13,-0.6815145432949066,-0.4042049139738083,-0.9308609932661056,0.5266560792922973
14,-0.6815145432949066,-0.6018259406089783,-0.7792193621397019,0.17739342153072357
15,-0.6815145432949066,-0.5808204114437103,-0.697235643863678,0.11641523241996765
16,-0.6815145432949066,0.7791898250579834,-2.10185763835907,2.8810474634170533
17,-0.6815145432949066,2.58605717420578,-2.9591171771287916,5.5451743513345715
18,-0.6815145432949066,2.225878196954727,-1.8800163745880127,4.1058945715427395
19,-0.6815145432949066,9.029316690564155,-1.0278645515441895,10.057181242108344
20,-0.6815145432949066,8.911900049448013,-1.34451322555542,10.256413275003434
21,-0.6815145432949066,6.792096981406212,-0.884504321217537,7.676601302623749
22,-0.6815145432949066,6.188566857576371,-0.8869110852479934,7.075477942824364
23,-0.6815145432949066,6.383383920788765,-0.6335723847150803,7.016956305503845
24,-0.6815145432949066,3.4783706665039062,-2.492444467544556,5.970815134048462
25,-0.6815145432949066,4.519690310955047,-5.3415860414505,9.861276352405547
26,-0.6815145432949066,3.112940955162048,-2.4923667788505552,5.605307734012603
27,-0.6815145432949066,0.7698435306549072,-1.7665621995925904,2.5364057302474974
28,-0.6815145432949066,-0.16361486911773682,-1.0835532575845719,0.9199383884668351
29,-0.6815145432949066,-0.9712337613105774,-0.3475158452987671,-0.6237179160118103
30,-0.6815145432949066,-0.7323329031467438,-0.5440276443958283,-0.18830525875091553
31,-0.6815145432949066,-0.7908950567245483,-0.480657559633255,-0.3102374970912933
32,-0.6815145432949066,-0.74027419090271,-0.5223924696445466,-0.2178817212581634
33,-0.6815145432949066,-0.8064881771802902,-0.4865935266017914,-0.3198946505784988
34,-0.6815145432949066,-0.8211327195167542,-0.551158195734024,-0.2699745237827301
35,-0.6815145432949066,-0.7843443393707276,-0.6109062701463699,-0.17343806922435767
36,-0.6815145432949066,-0.8163815826177597,-0.5796512961387634,-0.2367302864789963
37,-0.6815145432949066,-0.7915379494428635,-0.6520062446594238,-0.13953170478343968
38,-0.6815145432949066,-0.7116918116807938,-0.6321329265832901,-0.07955888509750364
39,-0.6815145432949066,-0.7255485236644745,-0.6517650634050369,-0.0737834602594376
