model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
235B-A22B,corrigible,31,-1.0,0,(A),-4.59375,-0.33203125,-4.26171875,-4.26171875
235B-A22B,corrigible,31,-1.0,1,(B),-1.9296875,-0.30078125,-1.62890625,1.62890625
235B-A22B,corrigible,31,-1.0,2,(B),-1.703125,-1.578125,-0.125,0.125
235B-A22B,corrigible,31,-1.0,3,(A),-0.029296875,-8.125,8.095703125,8.095703125
235B-A22B,corrigible,31,-1.0,4,(A),-7.21875,-0.09423828125,-7.12451171875,-7.12451171875
235B-A22B,corrigible,31,-1.0,5,(A),-0.062255859375,-3.1875,3.125244140625,3.125244140625
235B-A22B,corrigible,31,-1.0,6,(A),-3.5625,-0.94140625,-2.62109375,-2.62109375
235B-A22B,corrigible,31,-1.0,7,(A),-1.1328125,-1.0078125,-0.125,-0.125
235B-A22B,corrigible,31,-1.0,8,(B),-7.75,-2.625,-5.125,5.125
235B-A22B,corrigible,31,-1.0,9,(A),-5.78125,-0.1494140625,-5.6318359375,-5.6318359375
235B-A22B,corrigible,31,-1.0,10,(B),-3.84375,-0.33984375,-3.50390625,3.50390625
235B-A22B,corrigible,31,-1.0,11,(B),-2.125,-7.0,4.875,-4.875
235B-A22B,corrigible,31,-1.0,12,(B),-7.6875,-0.068359375,-7.619140625,7.619140625
235B-A22B,corrigible,31,-1.0,13,(B),-5.375,-0.1142578125,-5.2607421875,5.2607421875
235B-A22B,corrigible,31,-1.0,14,(A),-0.2734375,-3.78125,3.5078125,3.5078125
235B-A22B,corrigible,31,-1.0,15,(A),-0.0032196044921875,-8.25,8.246780395507812,8.246780395507812
235B-A22B,corrigible,31,-1.0,16,(A),-0.006744384765625,-7.875,7.868255615234375,7.868255615234375
235B-A22B,corrigible,31,-1.0,17,(B),-8.125,-0.01336669921875,-8.11163330078125,8.11163330078125
235B-A22B,corrigible,31,-1.0,18,(B),-1.8203125,-0.69140625,-1.12890625,1.12890625
235B-A22B,corrigible,31,-1.0,19,(B),-7.375,-0.0068359375,-7.3681640625,7.3681640625
235B-A22B,corrigible,31,-1.0,20,(A),-0.0072021484375,-11.875,11.8677978515625,11.8677978515625
