model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
4B,corrigible,11,-1.0,0,(A),-7.21875,-4.71875,-2.5,-2.5
4B,corrigible,11,-1.0,1,(B),-3.046875,-0.546875,-2.5,2.5
4B,corrigible,11,-1.0,2,(B),-18.25,-8.625,-9.625,9.625
4B,corrigible,11,-1.0,3,(A),-10.875,-6.125,-4.75,-4.75
4B,corrigible,11,-1.0,4,(A),-14.5625,-0.2021484375,-14.3603515625,-14.3603515625
4B,corrigible,11,-1.0,5,(A),-6.375,-0.0032806396484375,-6.3717193603515625,-6.3717193603515625
4B,corrigible,11,-1.0,6,(A),-14.0625,-0.5390625,-13.5234375,-13.5234375
4B,corrigible,11,-1.0,7,(A),-16.25,-0.0242919921875,-16.2257080078125,-16.2257080078125
4B,corrigible,11,-1.0,8,(B),-14.375,-3.890625,-10.484375,10.484375
4B,corrigible,11,-1.0,9,(A),-6.84375,-2.859375,-3.984375,-3.984375
4B,corrigible,11,-1.0,10,(B),-16.5,-0.09130859375,-16.40869140625,16.40869140625
4B,corrigible,11,-1.0,11,(B),-10.25,-10.375,0.125,-0.125
4B,corrigible,11,-1.0,12,(B),-2.90625,-0.78125,-2.125,2.125
4B,corrigible,11,-1.0,13,(B),-11.875,-0.001251220703125,-11.873748779296875,11.873748779296875
4B,corrigible,11,-1.0,14,(A),-12.875,-0.00028228759765625,-12.874717712402344,-12.874717712402344
4B,corrigible,11,-1.0,15,(A),-4.315376281738281e-05,-10.125,10.124956846237183,10.124956846237183
4B,corrigible,11,-1.0,16,(A),-0.15234375,-3.90625,3.75390625,3.75390625
4B,corrigible,11,-1.0,17,(B),-17.875,-0.000385284423828125,-17.874614715576172,17.874614715576172
4B,corrigible,11,-1.0,18,(B),-0.004852294921875,-5.5,5.495147705078125,-5.495147705078125
4B,corrigible,11,-1.0,19,(B),-17.875,-3.0994415283203125e-05,-17.874969005584717,17.874969005584717
4B,corrigible,11,-1.0,20,(A),-8.344650268554688e-07,-14.5,14.499999165534973,14.499999165534973
4B,corrigible,11,-1.0,21,(A),-15.8125,-0.455078125,-15.357421875,-15.357421875
4B,corrigible,11,-1.0,22,(A),-19.5,-4.3392181396484375e-05,-19.499956607818604,-19.499956607818604
4B,corrigible,11,-1.0,23,(B),-19.875,-9.25,-10.625,10.625
4B,corrigible,11,-1.0,24,(A),-17.75,-10.375,-7.375,-7.375
4B,corrigible,11,-1.0,25,(B),-0.0038604736328125,-7.75,7.7461395263671875,-7.7461395263671875
4B,corrigible,11,-1.0,26,(B),-14.875,-3.890625,-10.984375,10.984375
4B,corrigible,11,-1.0,27,(B),-6.1875,-0.9453125,-5.2421875,5.2421875
4B,corrigible,11,-1.0,28,(B),-0.52734375,-7.78125,7.25390625,-7.25390625
4B,corrigible,11,-1.0,29,(A),-18.125,-7.5,-10.625,-10.625
4B,corrigible,11,-1.0,30,(B),-14.25,-10.375,-3.875,3.875
4B,corrigible,11,-1.0,31,(B),-12.5,-0.0024261474609375,-12.497573852539062,12.497573852539062
4B,corrigible,11,-1.0,32,(B),-15.125,-0.0024261474609375,-15.122573852539062,15.122573852539062
4B,corrigible,11,-1.0,33,(A),-9.25,-6.5,-2.75,-2.75
4B,corrigible,11,-1.0,34,(B),-17.25,-8.625,-8.625,8.625
4B,corrigible,11,-1.0,35,(B),-12.0625,-1.9140625,-10.1484375,10.1484375
4B,corrigible,11,-1.0,36,(B),-8.3125,-0.04345703125,-8.26904296875,8.26904296875
4B,corrigible,11,-1.0,37,(A),-7.375,-0.000736236572265625,-7.374263763427734,-7.374263763427734
4B,corrigible,11,-1.0,38,(B),-5.125,-0.123046875,-5.001953125,5.001953125
4B,corrigible,11,-1.0,39,(B),-2.3125,-5.3125,3.0,-3.0
4B,corrigible,11,0.0,0,(A),-6.3125,-4.5625,-1.75,-1.75
4B,corrigible,11,0.0,1,(B),-3.359375,-0.48828125,-2.87109375,2.87109375
4B,corrigible,11,0.0,2,(B),-17.75,-8.875,-8.875,8.875
4B,corrigible,11,0.0,3,(A),-9.9375,-6.15625,-3.78125,-3.78125
4B,corrigible,11,0.0,4,(A),-12.75,-0.388671875,-12.361328125,-12.361328125
4B,corrigible,11,0.0,5,(A),-4.03125,-0.021240234375,-4.010009765625,-4.010009765625
4B,corrigible,11,0.0,6,(A),-13.6875,-0.53515625,-13.15234375,-13.15234375
4B,corrigible,11,0.0,7,(A),-15.75,-0.0213623046875,-15.7286376953125,-15.7286376953125
4B,corrigible,11,0.0,8,(B),-13.375,-4.375,-9.0,9.0
4B,corrigible,11,0.0,9,(A),-5.90625,-2.65625,-3.25,-3.25
4B,corrigible,11,0.0,10,(B),-16.125,-0.07421875,-16.05078125,16.05078125
4B,corrigible,11,0.0,11,(B),-10.5,-10.375,-0.125,0.125
4B,corrigible,11,0.0,12,(B),-2.0625,-0.6953125,-1.3671875,1.3671875
4B,corrigible,11,0.0,13,(B),-10.875,-0.00106048583984375,-10.873939514160156,10.873939514160156
4B,corrigible,11,0.0,14,(A),-11.125,-0.000492095947265625,-11.124507904052734,-11.124507904052734
4B,corrigible,11,0.0,15,(A),-3.0040740966796875e-05,-10.5,10.499969959259033,10.499969959259033
4B,corrigible,11,0.0,16,(A),-0.07080078125,-4.3125,4.24169921875,4.24169921875
4B,corrigible,11,0.0,17,(B),-17.75,-0.0002651214599609375,-17.74973487854004,17.74973487854004
4B,corrigible,11,0.0,18,(B),-0.00131988525390625,-7.0,6.998680114746094,-6.998680114746094
4B,corrigible,11,0.0,19,(B),-17.75,-2.181529998779297e-05,-17.749978184700012,17.749978184700012
4B,corrigible,11,0.0,20,(A),-9.5367431640625e-07,-14.25,14.249999046325684,14.249999046325684
4B,corrigible,11,0.0,21,(A),-15.375,-0.40625,-14.96875,-14.96875
4B,corrigible,11,0.0,22,(A),-18.75,-4.220008850097656e-05,-18.7499577999115,-18.7499577999115
4B,corrigible,11,0.0,23,(B),-19.125,-9.25,-9.875,9.875
4B,corrigible,11,0.0,24,(A),-16.875,-10.875,-6.0,-6.0
4B,corrigible,11,0.0,25,(B),-0.003936767578125,-7.875,7.871063232421875,-7.871063232421875
4B,corrigible,11,0.0,26,(B),-14.0,-4.625,-9.375,9.375
4B,corrigible,11,0.0,27,(B),-6.125,-0.8671875,-5.2578125,5.2578125
4B,corrigible,11,0.0,28,(B),-0.11474609375,-7.75,7.63525390625,-7.63525390625
4B,corrigible,11,0.0,29,(A),-17.125,-8.0,-9.125,-9.125
4B,corrigible,11,0.0,30,(B),-13.0,-9.75,-3.25,3.25
4B,corrigible,11,0.0,31,(B),-11.25,-0.00653076171875,-11.24346923828125,11.24346923828125
4B,corrigible,11,0.0,32,(B),-14.25,-0.003936767578125,-14.246063232421875,14.246063232421875
4B,corrigible,11,0.0,33,(A),-7.96875,-5.84375,-2.125,-2.125
4B,corrigible,11,0.0,34,(B),-16.375,-9.5,-6.875,6.875
4B,corrigible,11,0.0,35,(B),-11.0,-2.46875,-8.53125,8.53125
4B,corrigible,11,0.0,36,(B),-7.28125,-0.142578125,-7.138671875,7.138671875
4B,corrigible,11,0.0,37,(A),-3.046875,-0.049560546875,-2.997314453125,-2.997314453125
4B,corrigible,11,0.0,38,(B),-4.5625,-0.189453125,-4.373046875,4.373046875
4B,corrigible,11,0.0,39,(B),-0.84765625,-5.21875,4.37109375,-4.37109375
4B,corrigible,11,1.0,0,(A),-6.3125,-4.8125,-1.5,-1.5
4B,corrigible,11,1.0,1,(B),-3.203125,-0.453125,-2.75,2.75
4B,corrigible,11,1.0,2,(B),-17.125,-10.0,-7.125,7.125
4B,corrigible,11,1.0,3,(A),-8.5625,-5.90625,-2.65625,-2.65625
4B,corrigible,11,1.0,4,(A),-10.8125,-0.578125,-10.234375,-10.234375
4B,corrigible,11,1.0,5,(A),-1.1484375,-0.3984375,-0.75,-0.75
4B,corrigible,11,1.0,6,(A),-12.6875,-0.703125,-11.984375,-11.984375
4B,corrigible,11,1.0,7,(A),-15.125,-0.0164794921875,-15.1085205078125,-15.1085205078125
4B,corrigible,11,1.0,8,(B),-12.625,-5.125,-7.5,7.5
4B,corrigible,11,1.0,9,(A),-4.5625,-2.703125,-1.859375,-1.859375
4B,corrigible,11,1.0,10,(B),-15.8125,-0.03515625,-15.77734375,15.77734375
4B,corrigible,11,1.0,11,(B),-10.875,-10.875,0.0,-0.0
4B,corrigible,11,1.0,12,(B),-1.4453125,-0.69921875,-0.74609375,0.74609375
4B,corrigible,11,1.0,13,(B),-10.5,-0.0005035400390625,-10.499496459960938,10.499496459960938
4B,corrigible,11,1.0,14,(A),-7.25,-0.0025177001953125,-7.2474822998046875,-7.2474822998046875
4B,corrigible,11,1.0,15,(A),-3.0159950256347656e-05,-10.5,10.499969840049744,10.499969840049744
4B,corrigible,11,1.0,16,(A),-0.035888671875,-4.65625,4.620361328125,4.620361328125
4B,corrigible,11,1.0,17,(B),-18.0,-0.000110626220703125,-17.999889373779297,17.999889373779297
4B,corrigible,11,1.0,18,(B),-0.000743865966796875,-7.75,7.749256134033203,-7.749256134033203
4B,corrigible,11,1.0,19,(B),-17.625,-1.3828277587890625e-05,-17.624986171722412,17.624986171722412
4B,corrigible,11,1.0,20,(A),-1.430511474609375e-06,-14.0,13.999998569488525,13.999998569488525
4B,corrigible,11,1.0,21,(A),-14.75,-0.240234375,-14.509765625,-14.509765625
4B,corrigible,11,1.0,22,(A),-18.25,-3.361701965332031e-05,-18.249966382980347,-18.249966382980347
4B,corrigible,11,1.0,23,(B),-17.875,-8.625,-9.25,9.25
4B,corrigible,11,1.0,24,(A),-15.625,-11.125,-4.5,-4.5
4B,corrigible,11,1.0,25,(B),-0.000865936279296875,-9.375,9.374134063720703,-9.374134063720703
4B,corrigible,11,1.0,26,(B),-12.5,-4.5,-8.0,8.0
4B,corrigible,11,1.0,27,(B),-5.1875,-0.67578125,-4.51171875,4.51171875
4B,corrigible,11,1.0,28,(B),-0.0634765625,-7.5625,7.4990234375,-7.4990234375
4B,corrigible,11,1.0,29,(A),-15.75,-7.875,-7.875,-7.875
4B,corrigible,11,1.0,30,(B),-12.375,-9.5,-2.875,2.875
4B,corrigible,11,1.0,31,(B),-8.8125,-0.0458984375,-8.7666015625,8.7666015625
4B,corrigible,11,1.0,32,(B),-13.125,-0.006195068359375,-13.118804931640625,13.118804931640625
4B,corrigible,11,1.0,33,(A),-7.09375,-5.71875,-1.375,-1.375
4B,corrigible,11,1.0,34,(B),-15.625,-10.375,-5.25,5.25
4B,corrigible,11,1.0,35,(B),-10.3125,-3.046875,-7.265625,7.265625
4B,corrigible,11,1.0,36,(B),-6.46875,-0.22265625,-6.24609375,6.24609375
4B,corrigible,11,1.0,37,(A),-0.10205078125,-2.359375,2.25732421875,2.25732421875
4B,corrigible,11,1.0,38,(B),-4.5625,-0.0751953125,-4.4873046875,4.4873046875
4B,corrigible,11,1.0,39,(B),-0.43359375,-5.6875,5.25390625,-5.25390625
4B,corrigible,12,-1.0,0,(A),-6.875,-3.625,-3.25,-3.25
4B,corrigible,12,-1.0,1,(B),-2.5625,-0.439453125,-2.123046875,2.123046875
4B,corrigible,12,-1.0,2,(B),-18.0,-8.125,-9.875,9.875
4B,corrigible,12,-1.0,3,(A),-10.5,-4.21875,-6.28125,-6.28125
4B,corrigible,12,-1.0,4,(A),-14.25,-0.2265625,-14.0234375,-14.0234375
4B,corrigible,12,-1.0,5,(A),-6.75,-0.0025177001953125,-6.7474822998046875,-6.7474822998046875
4B,corrigible,12,-1.0,6,(A),-14.5,-0.2314453125,-14.2685546875,-14.2685546875
4B,corrigible,12,-1.0,7,(A),-16.875,-0.0213623046875,-16.8536376953125,-16.8536376953125
4B,corrigible,12,-1.0,8,(B),-14.1875,-3.28125,-10.90625,10.90625
4B,corrigible,12,-1.0,9,(A),-6.46875,-2.09375,-4.375,-4.375
4B,corrigible,12,-1.0,10,(B),-17.0,-0.0625,-16.9375,16.9375
4B,corrigible,12,-1.0,11,(B),-10.625,-9.375,-1.25,1.25
4B,corrigible,12,-1.0,12,(B),-3.078125,-0.3203125,-2.7578125,2.7578125
4B,corrigible,12,-1.0,13,(B),-13.375,-0.0001850128173828125,-13.374814987182617,13.374814987182617
4B,corrigible,12,-1.0,14,(A),-12.625,-0.00012969970703125,-12.624870300292969,-12.624870300292969
4B,corrigible,12,-1.0,15,(A),-8.916854858398438e-05,-9.375,9.374910831451416,9.374910831451416
4B,corrigible,12,-1.0,16,(A),-0.0230712890625,-4.78125,4.7581787109375,4.7581787109375
4B,corrigible,12,-1.0,17,(B),-18.25,-9.870529174804688e-05,-18.249901294708252,18.249901294708252
4B,corrigible,12,-1.0,18,(B),-0.0020904541015625,-6.5,6.4979095458984375,-6.4979095458984375
4B,corrigible,12,-1.0,19,(B),-18.375,-9.5367431640625e-06,-18.374990463256836,18.374990463256836
4B,corrigible,12,-1.0,20,(A),-1.1920928955078125e-06,-14.0,13.999998807907104,13.999998807907104
4B,corrigible,12,-1.0,21,(A),-16.625,-0.107421875,-16.517578125,-16.517578125
4B,corrigible,12,-1.0,22,(A),-20.0,-1.430511474609375e-05,-19.999985694885254,-19.999985694885254
4B,corrigible,12,-1.0,23,(B),-20.0,-8.75,-11.25,11.25
4B,corrigible,12,-1.0,24,(A),-17.75,-10.5,-7.25,-7.25
4B,corrigible,12,-1.0,25,(B),-0.0022735595703125,-8.75,8.747726440429688,-8.747726440429688
4B,corrigible,12,-1.0,26,(B),-15.0,-3.78125,-11.21875,11.21875
4B,corrigible,12,-1.0,27,(B),-6.34375,-0.8515625,-5.4921875,5.4921875
4B,corrigible,12,-1.0,28,(B),-0.1806640625,-8.5625,8.3818359375,-8.3818359375
4B,corrigible,12,-1.0,29,(A),-18.125,-6.75,-11.375,-11.375
4B,corrigible,12,-1.0,30,(B),-13.5,-9.75,-3.75,3.75
4B,corrigible,12,-1.0,31,(B),-13.625,-0.0003223419189453125,-13.624677658081055,13.624677658081055
4B,corrigible,12,-1.0,32,(B),-15.375,-0.00311279296875,-15.37188720703125,15.37188720703125
4B,corrigible,12,-1.0,33,(A),-9.0,-5.875,-3.125,-3.125
4B,corrigible,12,-1.0,34,(B),-17.75,-8.375,-9.375,9.375
4B,corrigible,12,-1.0,35,(B),-12.5625,-1.703125,-10.859375,10.859375
4B,corrigible,12,-1.0,36,(B),-8.5,-0.02880859375,-8.47119140625,8.47119140625
4B,corrigible,12,-1.0,37,(A),-6.75,-0.00122833251953125,-6.748771667480469,-6.748771667480469
4B,corrigible,12,-1.0,38,(B),-4.5625,-0.05615234375,-4.50634765625,4.50634765625
4B,corrigible,12,-1.0,39,(B),-1.3203125,-5.5625,4.2421875,-4.2421875
4B,corrigible,12,0.0,0,(A),-6.3125,-4.5625,-1.75,-1.75
4B,corrigible,12,0.0,1,(B),-3.359375,-0.48828125,-2.87109375,2.87109375
4B,corrigible,12,0.0,2,(B),-17.75,-8.875,-8.875,8.875
4B,corrigible,12,0.0,3,(A),-9.9375,-6.15625,-3.78125,-3.78125
4B,corrigible,12,0.0,4,(A),-12.75,-0.388671875,-12.361328125,-12.361328125
4B,corrigible,12,0.0,5,(A),-4.03125,-0.021240234375,-4.010009765625,-4.010009765625
4B,corrigible,12,0.0,6,(A),-13.6875,-0.53515625,-13.15234375,-13.15234375
4B,corrigible,12,0.0,7,(A),-15.75,-0.0213623046875,-15.7286376953125,-15.7286376953125
4B,corrigible,12,0.0,8,(B),-13.375,-4.375,-9.0,9.0
4B,corrigible,12,0.0,9,(A),-5.90625,-2.65625,-3.25,-3.25
4B,corrigible,12,0.0,10,(B),-16.125,-0.07421875,-16.05078125,16.05078125
4B,corrigible,12,0.0,11,(B),-10.5,-10.375,-0.125,0.125
4B,corrigible,12,0.0,12,(B),-2.0625,-0.6953125,-1.3671875,1.3671875
4B,corrigible,12,0.0,13,(B),-10.875,-0.00106048583984375,-10.873939514160156,10.873939514160156
4B,corrigible,12,0.0,14,(A),-11.125,-0.000492095947265625,-11.124507904052734,-11.124507904052734
4B,corrigible,12,0.0,15,(A),-3.0040740966796875e-05,-10.5,10.499969959259033,10.499969959259033
4B,corrigible,12,0.0,16,(A),-0.07080078125,-4.3125,4.24169921875,4.24169921875
4B,corrigible,12,0.0,17,(B),-17.75,-0.0002651214599609375,-17.74973487854004,17.74973487854004
4B,corrigible,12,0.0,18,(B),-0.00131988525390625,-7.0,6.998680114746094,-6.998680114746094
4B,corrigible,12,0.0,19,(B),-17.75,-2.181529998779297e-05,-17.749978184700012,17.749978184700012
4B,corrigible,12,0.0,20,(A),-9.5367431640625e-07,-14.25,14.249999046325684,14.249999046325684
4B,corrigible,12,0.0,21,(A),-15.375,-0.40625,-14.96875,-14.96875
4B,corrigible,12,0.0,22,(A),-18.75,-4.220008850097656e-05,-18.7499577999115,-18.7499577999115
4B,corrigible,12,0.0,23,(B),-19.125,-9.25,-9.875,9.875
4B,corrigible,12,0.0,24,(A),-16.875,-10.875,-6.0,-6.0
4B,corrigible,12,0.0,25,(B),-0.003936767578125,-7.875,7.871063232421875,-7.871063232421875
4B,corrigible,12,0.0,26,(B),-14.0,-4.625,-9.375,9.375
4B,corrigible,12,0.0,27,(B),-6.125,-0.8671875,-5.2578125,5.2578125
4B,corrigible,12,0.0,28,(B),-0.11474609375,-7.75,7.63525390625,-7.63525390625
4B,corrigible,12,0.0,29,(A),-17.125,-8.0,-9.125,-9.125
4B,corrigible,12,0.0,30,(B),-13.0,-9.75,-3.25,3.25
4B,corrigible,12,0.0,31,(B),-11.25,-0.00653076171875,-11.24346923828125,11.24346923828125
4B,corrigible,12,0.0,32,(B),-14.25,-0.003936767578125,-14.246063232421875,14.246063232421875
4B,corrigible,12,0.0,33,(A),-7.96875,-5.84375,-2.125,-2.125
4B,corrigible,12,0.0,34,(B),-16.375,-9.5,-6.875,6.875
4B,corrigible,12,0.0,35,(B),-11.0,-2.46875,-8.53125,8.53125
4B,corrigible,12,0.0,36,(B),-7.28125,-0.142578125,-7.138671875,7.138671875
4B,corrigible,12,0.0,37,(A),-3.046875,-0.049560546875,-2.997314453125,-2.997314453125
4B,corrigible,12,0.0,38,(B),-4.5625,-0.189453125,-4.373046875,4.373046875
4B,corrigible,12,0.0,39,(B),-0.84765625,-5.21875,4.37109375,-4.37109375
4B,corrigible,12,1.0,0,(A),-6.1875,-5.4375,-0.75,-0.75
4B,corrigible,12,1.0,1,(B),-3.0,-0.380859375,-2.619140625,2.619140625
4B,corrigible,12,1.0,2,(B),-16.75,-9.625,-7.125,7.125
4B,corrigible,12,1.0,3,(A),-9.3125,-7.1875,-2.125,-2.125
4B,corrigible,12,1.0,4,(A),-11.0,-0.4765625,-10.5234375,-10.5234375
4B,corrigible,12,1.0,5,(A),-1.5078125,-0.255859375,-1.251953125,-1.251953125
4B,corrigible,12,1.0,6,(A),-12.0,-0.7734375,-11.2265625,-11.2265625
4B,corrigible,12,1.0,7,(A),-15.1875,-0.00933837890625,-15.17816162109375,-15.17816162109375
4B,corrigible,12,1.0,8,(B),-12.75,-5.875,-6.875,6.875
4B,corrigible,12,1.0,9,(A),-4.6875,-2.578125,-2.109375,-2.109375
4B,corrigible,12,1.0,10,(B),-15.1875,-0.087890625,-15.099609375,15.099609375
4B,corrigible,12,1.0,11,(B),-10.25,-11.0,0.75,-0.75
4B,corrigible,12,1.0,12,(B),-1.6796875,-0.55859375,-1.12109375,1.12109375
4B,corrigible,12,1.0,13,(B),-8.5,-0.004241943359375,-8.495758056640625,8.495758056640625
4B,corrigible,12,1.0,14,(A),-8.625,-0.002655029296875,-8.622344970703125,-8.622344970703125
4B,corrigible,12,1.0,15,(A),-1.3232231140136719e-05,-11.375,11.37498676776886,11.37498676776886
