model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
30B-A3B,self_awareness,15,-1.0,0,(B),-4.5,-0.01177978515625,-4.48822021484375,4.48822021484375
30B-A3B,self_awareness,15,-1.0,1,(A),-4.5,-0.01104736328125,-4.48895263671875,-4.48895263671875
30B-A3B,self_awareness,15,-1.0,2,(B),-13.625,-3.814697265625e-06,-13.624996185302734,13.624996185302734
30B-A3B,self_awareness,15,-1.0,3,(A),-0.0002841949462890625,-8.25,8.249715805053711,8.249715805053711
30B-A3B,self_awareness,15,-1.0,4,(A),-14.875,-7.581710815429688e-05,-14.874924182891846,-14.874924182891846
30B-A3B,self_awareness,15,-1.0,5,(A),-6.5,-0.0027008056640625,-6.4972991943359375,-6.4972991943359375
30B-A3B,self_awareness,15,-1.0,6,(B),-18.0,-16.375,-1.625,1.625
30B-A3B,self_awareness,15,-1.0,7,(B),-0.00408935546875,-5.5,5.49591064453125,-5.49591064453125
30B-A3B,self_awareness,15,-1.0,8,(A),-14.25,-5.984306335449219e-05,-14.249940156936646,-14.249940156936646
30B-A3B,self_awareness,15,-1.0,9,(B),-5.0,-0.007659912109375,-4.992340087890625,4.992340087890625
30B-A3B,self_awareness,15,-1.0,10,(B),-9.8125,-0.828125,-8.984375,8.984375
30B-A3B,self_awareness,15,-1.0,11,(A),-24.0,-26.0,2.0,2.0
30B-A3B,self_awareness,15,-1.0,12,(A),-18.125,-3.4570693969726562e-06,-18.124996542930603,-18.124996542930603
30B-A3B,self_awareness,15,-1.0,13,(A),-4.75,-6.0,1.25,1.25
30B-A3B,self_awareness,15,-1.0,14,(B),-12.75,-9.875,-2.875,2.875
30B-A3B,self_awareness,15,-1.0,15,(B),-10.75,-6.625,-4.125,4.125
30B-A3B,self_awareness,15,-1.0,16,(A),-20.875,-18.0,-2.875,-2.875
30B-A3B,self_awareness,15,-1.0,17,(A),-0.035888671875,-4.03125,3.995361328125,3.995361328125
30B-A3B,self_awareness,15,-1.0,18,(A),-1.9140625,-1.6640625,-0.25,-0.25
30B-A3B,self_awareness,15,-1.0,19,(A),-1.015625,-3.265625,2.25,2.25
30B-A3B,self_awareness,15,-1.0,20,(B),-11.5,-1.1563301086425781e-05,-11.499988436698914,11.499988436698914
30B-A3B,self_awareness,15,-1.0,21,(B),-13.625,-1.1682510375976562e-05,-13.624988317489624,13.624988317489624
30B-A3B,self_awareness,15,-1.0,22,(A),-0.048583984375,-3.046875,2.998291015625,2.998291015625
30B-A3B,self_awareness,15,-1.0,23,(B),-2.484375,-0.482421875,-2.001953125,2.001953125
30B-A3B,self_awareness,15,-1.0,24,(A),-3.28125,-0.0380859375,-3.2431640625,-3.2431640625
30B-A3B,self_awareness,15,-1.0,25,(B),-11.625,-6.0,-5.625,5.625
30B-A3B,self_awareness,15,-1.0,26,(A),-8.75,-0.00018596649169921875,-8.7498140335083,-8.7498140335083
30B-A3B,self_awareness,15,-1.0,27,(A),-15.75,-3.0994415283203125e-06,-15.749996900558472,-15.749996900558472
30B-A3B,self_awareness,15,-1.0,28,(A),-4.40625,-0.400390625,-4.005859375,-4.005859375
30B-A3B,self_awareness,15,-1.0,29,(A),-4.09375,-3.09375,-1.0,-1.0
30B-A3B,self_awareness,15,-1.0,30,(B),-13.875,-7.25,-6.625,6.625
30B-A3B,self_awareness,15,-1.0,31,(B),-15.375,-11.125,-4.25,4.25
30B-A3B,self_awareness,15,-1.0,32,(B),-0.02978515625,-3.53125,3.50146484375,-3.50146484375
30B-A3B,self_awareness,15,-1.0,33,(B),-11.25,-9.875,-1.375,1.375
30B-A3B,self_awareness,15,-1.0,34,(B),-5.59375,-0.34375,-5.25,5.25
30B-A3B,self_awareness,15,-1.0,35,(B),-12.625,-4.291534423828125e-06,-12.624995708465576,12.624995708465576
30B-A3B,self_awareness,15,-1.0,36,(A),-11.0625,-0.043701171875,-11.018798828125,-11.018798828125
30B-A3B,self_awareness,15,-1.0,37,(A),-12.25,-0.0036163330078125,-12.246383666992188,-12.246383666992188
30B-A3B,self_awareness,15,-1.0,38,(B),-17.75,-11.0,-6.75,6.75
30B-A3B,self_awareness,15,-1.0,39,(A),-0.498046875,-3.75,3.251953125,3.251953125
30B-A3B,self_awareness,15,-1.0,40,(B),-7.75,-0.0004425048828125,-7.7495574951171875,7.7495574951171875
30B-A3B,self_awareness,15,-1.0,41,(B),-0.00408935546875,-5.5,5.49591064453125,-5.49591064453125
30B-A3B,self_awareness,15,-1.0,42,(A),-8.7738037109375e-05,-9.75,9.74991226196289,9.74991226196289
30B-A3B,self_awareness,15,-1.0,43,(A),-4.4375,-0.171875,-4.265625,-4.265625
30B-A3B,self_awareness,15,-1.0,44,(A),-2.1338462829589844e-05,-11.25,11.24997866153717,11.24997866153717
30B-A3B,self_awareness,15,-1.0,45,(B),-10.5625,-0.828125,-9.734375,9.734375
30B-A3B,self_awareness,15,-1.0,46,(A),-13.125,-4.75,-8.375,-8.375
30B-A3B,self_awareness,15,-1.0,47,(B),-6.0,-0.0025634765625,-5.9974365234375,5.9974365234375
30B-A3B,self_awareness,15,-1.0,48,(B),-0.3125,-1.3125,1.0,-1.0
30B-A3B,self_awareness,15,-1.0,49,(B),-8.6875,-2.8125,-5.875,5.875
30B-A3B,self_awareness,15,-1.0,50,(B),-0.0301513671875,-3.53125,3.5010986328125,-3.5010986328125
30B-A3B,self_awareness,15,-1.0,51,(A),-14.875,-6.67572021484375e-06,-14.874993324279785,-14.874993324279785
30B-A3B,self_awareness,15,-1.0,52,(B),-9.875,-0.006805419921875,-9.868194580078125,9.868194580078125
30B-A3B,self_awareness,15,-1.0,53,(A),-9.25,-12.875,3.625,3.625
30B-A3B,self_awareness,15,-1.0,54,(B),-7.90625,-0.40234375,-7.50390625,7.50390625
30B-A3B,self_awareness,15,-1.0,55,(A),-12.75,-13.5,0.75,0.75
30B-A3B,self_awareness,15,-1.0,56,(B),-11.5,-7.5,-4.0,4.0
30B-A3B,self_awareness,15,-1.0,57,(A),-6.75,-0.00116729736328125,-6.748832702636719,-6.748832702636719
30B-A3B,self_awareness,15,-1.0,58,(B),-15.0,-9.655952453613281e-06,-14.999990344047546,14.999990344047546
30B-A3B,self_awareness,15,-1.0,59,(B),-0.0054931640625,-5.25,5.2445068359375,-5.2445068359375
30B-A3B,self_awareness,15,-1.0,60,(A),-19.25,-16.625,-2.625,-2.625
30B-A3B,self_awareness,15,-1.0,61,(A),-11.75,-13.375,1.625,1.625
