model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
8B,self_awareness,11,-1.0,0,(B),-11.0625,-12.4375,1.375,-1.375
8B,self_awareness,11,-1.0,1,(A),-16.0,-20.375,4.375,4.375
8B,self_awareness,11,-1.0,2,(B),-16.0,-20.375,4.375,-4.375
8B,self_awareness,11,-1.0,3,(A),-16.25,-17.75,1.5,1.5
8B,self_awareness,11,-1.0,4,(A),-21.0,-21.625,0.625,0.625
8B,self_awareness,11,-1.0,5,(A),-24.375,-23.375,-1.0,-1.0
8B,self_awareness,11,-1.0,6,(B),-14.0,-12.125,-1.875,1.875
8B,self_awareness,11,-1.0,7,(B),-20.125,-21.875,1.75,-1.75
8B,self_awareness,11,-1.0,8,(A),-24.875,-29.125,4.25,4.25
8B,self_awareness,11,-1.0,9,(B),-36.0,-36.5,0.5,-0.5
8B,self_awareness,11,-1.0,10,(B),-29.5,-27.75,-1.75,1.75
8B,self_awareness,11,-1.0,11,(A),-29.375,-21.625,-7.75,-7.75
8B,self_awareness,11,-1.0,12,(A),-24.5,-26.0,1.5,1.5
8B,self_awareness,11,-1.0,13,(A),-14.4375,-14.875,0.4375,0.4375
8B,self_awareness,11,-1.0,14,(B),-12.625,-12.0,-0.625,0.625
8B,self_awareness,11,-1.0,15,(B),-23.5,-12.875,-10.625,10.625
8B,self_awareness,11,-1.0,16,(A),-19.375,-19.75,0.375,0.375
8B,self_awareness,11,-1.0,17,(A),-0.115234375,-5.125,5.009765625,5.009765625
8B,self_awareness,11,-1.0,18,(A),-22.0,-20.625,-1.375,-1.375
8B,self_awareness,11,-1.0,19,(A),-28.375,-17.75,-10.625,-10.625
8B,self_awareness,11,-1.0,20,(B),-24.75,-28.75,4.0,-4.0
8B,self_awareness,11,-1.0,21,(B),-40.0,-36.5,-3.5,3.5
8B,self_awareness,11,-1.0,22,(A),-21.875,-19.75,-2.125,-2.125
8B,self_awareness,11,-1.0,23,(B),-27.75,-31.0,3.25,-3.25
8B,self_awareness,11,-1.0,24,(A),-21.125,-22.875,1.75,1.75
8B,self_awareness,11,-1.0,25,(B),-16.875,-18.875,2.0,-2.0
8B,self_awareness,11,-1.0,26,(A),-35.5,-42.25,6.75,6.75
8B,self_awareness,11,-1.0,27,(A),-17.75,-0.0023040771484375,-17.747695922851562,-17.747695922851562
8B,self_awareness,11,-1.0,28,(A),-11.125,-0.0240478515625,-11.1009521484375,-11.1009521484375
8B,self_awareness,11,-1.0,29,(A),-19.75,-23.125,3.375,3.375
8B,self_awareness,11,-1.0,30,(B),-37.75,-44.25,6.5,-6.5
8B,self_awareness,11,-1.0,31,(B),-24.5,-13.5,-11.0,11.0
