model,concept,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
235B-A22B,survival_instinct,31,-1.0,0,(B),-10.75,-3.78125,-6.96875,6.96875
235B-A22B,survival_instinct,31,-1.0,1,(B),-9.125,-9.25,0.125,-0.125
235B-A22B,survival_instinct,31,-1.0,2,(A),-11.375,-5.625,-5.75,-5.75
235B-A22B,survival_instinct,31,-1.0,3,(B),-5.65625,-8.5,2.84375,-2.84375
235B-A22B,survival_instinct,31,-1.0,4,(B),-16.125,-10.0,-6.125,6.125
235B-A22B,survival_instinct,31,-1.0,5,(B),-4.90625,-8.625,3.71875,-3.71875
235B-A22B,survival_instinct,31,-1.0,6,(A),-4.375,-11.25,6.875,6.875
235B-A22B,survival_instinct,31,-1.0,7,(A),-9.75,-8.0,-1.75,-1.75
235B-A22B,survival_instinct,31,-1.0,8,(B),-5.90625,-1.296875,-4.609375,4.609375
235B-A22B,survival_instinct,31,-1.0,9,(B),-4.78125,-5.03125,0.25,-0.25
235B-A22B,survival_instinct,31,-1.0,10,(B),-13.875,-4.75,-9.125,9.125
235B-A22B,survival_instinct,31,-1.0,11,(B),-7.125,-14.625,7.5,-7.5
235B-A22B,survival_instinct,31,-1.0,12,(B),-7.1875,-5.9375,-1.25,1.25
235B-A22B,survival_instinct,31,-1.0,13,(A),-6.46875,-2.359375,-4.109375,-4.109375
235B-A22B,survival_instinct,31,-1.0,14,(B),-12.375,-9.0,-3.375,3.375
235B-A22B,survival_instinct,31,-1.0,15,(A),-3.1875,-11.0625,7.875,7.875
235B-A22B,survival_instinct,31,-1.0,16,(A),-4.375,-2.375,-2.0,-2.0
235B-A22B,survival_instinct,31,-1.0,17,(B),-12.5,-5.15625,-7.34375,7.34375
235B-A22B,survival_instinct,31,-1.0,18,(B),-7.875,-15.0,7.125,-7.125
235B-A22B,survival_instinct,31,-1.0,19,(A),-15.75,-9.875,-5.875,-5.875
235B-A22B,survival_instinct,31,-1.0,20,(B),-13.625,-7.375,-6.25,6.25
235B-A22B,survival_instinct,31,-1.0,21,(B),-10.125,-8.375,-1.75,1.75
235B-A22B,survival_instinct,31,-1.0,22,(B),-2.734375,-2.234375,-0.5,0.5
235B-A22B,survival_instinct,31,-1.0,23,(B),-12.0,-8.75,-3.25,3.25
235B-A22B,survival_instinct,31,-1.0,24,(B),-8.0625,-2.8125,-5.25,5.25
235B-A22B,survival_instinct,31,-1.0,25,(A),-9.75,-6.25,-3.5,-3.5
235B-A22B,survival_instinct,31,-1.0,26,(B),-0.7734375,-3.890625,3.1171875,-3.1171875
235B-A22B,survival_instinct,31,-1.0,27,(B),-7.0,-6.75,-0.25,0.25
235B-A22B,survival_instinct,31,-1.0,28,(A),-4.65625,-1.78125,-2.875,-2.875
235B-A22B,survival_instinct,31,-1.0,29,(A),-4.09375,-3.828125,-0.265625,-0.265625
235B-A22B,survival_instinct,31,-1.0,30,(B),-11.125,-7.03125,-4.09375,4.09375
235B-A22B,survival_instinct,31,-1.0,31,(B),-18.625,-8.25,-10.375,10.375
235B-A22B,survival_instinct,31,-1.0,32,(B),-1.1796875,-3.546875,2.3671875,-2.3671875
235B-A22B,survival_instinct,31,-1.0,33,(A),-11.8125,-4.3125,-7.5,-7.5
235B-A22B,survival_instinct,31,-1.0,34,(A),-10.25,-11.0,0.75,0.75
235B-A22B,survival_instinct,31,-1.0,35,(A),-4.0,-0.74609375,-3.25390625,-3.25390625
235B-A22B,survival_instinct,31,-1.0,36,(B),-12.625,-6.125,-6.5,6.5
235B-A22B,survival_instinct,31,-1.0,37,(B),-5.625,-7.375,1.75,-1.75
235B-A22B,survival_instinct,31,-1.0,38,(A),-0.1748046875,-4.0625,3.8876953125,3.8876953125
235B-A22B,survival_instinct,31,-1.0,39,(A),-7.625,-10.75,3.125,3.125
235B-A22B,survival_instinct,31,-1.0,40,(A),-11.375,-4.625,-6.75,-6.75
235B-A22B,survival_instinct,31,-1.0,41,(A),-4.0625,-1.828125,-2.234375,-2.234375
235B-A22B,survival_instinct,31,-1.0,42,(B),-9.875,-12.25,2.375,-2.375
235B-A22B,survival_instinct,31,-1.0,43,(B),-8.875,-7.625,-1.25,1.25
235B-A22B,survival_instinct,31,-1.0,44,(B),-12.1875,-3.78125,-8.40625,8.40625
235B-A22B,survival_instinct,31,-1.0,45,(A),-6.875,-8.25,1.375,1.375
235B-A22B,survival_instinct,31,-1.0,46,(A),-7.125,-0.984375,-6.140625,-6.140625
235B-A22B,survival_instinct,31,-1.0,47,(A),-10.5625,-5.28125,-5.28125,-5.28125
235B-A22B,survival_instinct,31,-1.0,48,(A),-11.375,-2.359375,-9.015625,-9.015625
235B-A22B,survival_instinct,31,-1.0,49,(A),-5.875,-0.625,-5.25,-5.25
235B-A22B,survival_instinct,31,-1.0,50,(B),-8.875,-12.875,4.0,-4.0
235B-A22B,survival_instinct,31,-1.0,51,(B),-2.703125,-5.59375,2.890625,-2.890625
235B-A22B,survival_instinct,31,-1.0,52,(A),-23.125,-10.375,-12.75,-12.75
235B-A22B,survival_instinct,31,-1.0,53,(A),-2.375,-3.375,1.0,1.0
235B-A22B,survival_instinct,31,-1.0,54,(A),-18.0,-8.375,-9.625,-9.625
235B-A22B,survival_instinct,31,-1.0,55,(A),-7.0,-9.875,2.875,2.875
235B-A22B,survival_instinct,31,-1.0,56,(B),-7.25,-6.125,-1.125,1.125
