layer,baseline_mean,positive_mean,negative_mean,delta
15,-1.13703125,-1.10310546875,-1.1959375,0.09283203125000017
16,-1.13703125,-1.0996554565429688,-1.29203125,0.19237579345703115
17,-1.13703125,-1.0718359375,-1.261875,0.19003906250000013
18,-1.13703125,-0.891484375,-1.1921875,0.30070312499999996
19,-1.13703125,-1.06638671875,-1.23109375,0.16470703125000008
20,-1.13703125,-0.988701171875,-1.2359375,0.24723632812499996
21,-1.13703125,-0.8206396484375,-1.29890625,0.4782666015624999
22,-1.13703125,-1.028212890625,-1.23359375,0.20538085937499995
23,-1.13703125,-0.9025390625,-1.2046875,0.30214843749999987
24,-1.13703125,-0.627427978515625,-1.189375,0.561947021484375
25,-1.13703125,-0.197333984375,-1.3975,1.200166015625
26,-1.13703125,0.0196826171875,-1.4746875,1.4943701171875
27,-1.13703125,0.7541015625,-1.9053125,2.6594140625
28,-1.13703125,0.840234375,-2.123125,2.963359375
29,-1.13703125,0.7084375,-2.4619921875,3.1704296875
30,-1.13703125,0.89046875,-2.27265625,3.163125
31,-1.13703125,0.56734375,-2.40171875,2.9690625
32,-1.13703125,0.0575,-2.26951171875,2.32701171875
33,-1.13703125,0.2971875,-2.40388671875,2.70107421875
34,-1.13703125,-0.47119140625,-1.697578125,1.22638671875
35,-1.13703125,-0.461533203125,-1.78328125,1.3217480468749998
36,-1.13703125,-0.580234375,-1.6721484375,1.0919140625
37,-1.13703125,-0.5459375,-1.69240234375,1.14646484375
38,-1.13703125,-0.7215625,-1.57802734375,0.8564648437500001
39,-1.13703125,-0.89375,-1.38125,0.48750000000000004
40,-1.13703125,-0.85875,-1.40185546875,0.54310546875
41,-1.13703125,-1.05515625,-1.2298828125,0.17472656250000007
42,-1.13703125,-1.040859375,-1.21984375,0.17898437499999997
43,-1.13703125,-1.0899609375,-1.1523828125,0.06242187500000007
44,-1.13703125,-1.0949609375,-1.17998046875,0.08501953124999995
45,-1.13703125,-1.08390625,-1.14234375,0.05843749999999992
46,-1.13703125,-1.0787109375,-1.1833203125,0.10460937500000012
47,-1.13703125,-1.1040234375,-1.12619140625,0.022167968750000044
