layer,baseline_mean,positive_mean,negative_mean,delta
11,-1.2103125,-1.24515625,-1.229375,-0.015781249999999858
12,-1.2103125,-1.20203125,-1.2590625,0.05703124999999987
13,-1.2103125,-1.22828125,-1.255,0.026718749999999902
14,-1.2103125,-1.22296875,-1.223125,0.00015625000000007994
15,-1.2103125,-1.17671875,-1.26015625,0.08343750000000005
16,-1.2103125,-1.16796875,-1.24046875,0.07250000000000001
17,-1.2103125,-1.100625,-1.299375,0.19874999999999998
18,-1.2103125,-0.8803125,-1.47640625,0.5960937499999999
19,-1.2103125,-0.88484375,-1.5028125,0.6179687500000001
20,-1.2103125,-0.490703125,-1.45,0.9592968749999999
21,-1.2103125,-0.872578125,-1.4875,0.6149218750000001
22,-1.2103125,-0.804609375,-1.55875,0.7541406250000001
23,-1.2103125,-1.02421875,-1.39515625,0.37093750000000014
24,-1.2103125,-1.02921875,-1.36765625,0.33843749999999995
25,-1.2103125,-0.96890625,-1.44984375,0.48093750000000013
26,-1.2103125,-1.1715625,-1.249375,0.07781249999999984
27,-1.2103125,-1.18015625,-1.23453125,0.05437500000000006
28,-1.2103125,-1.18796875,-1.21203125,0.024062499999999876
29,-1.2103125,-1.19734375,-1.191875,-0.005468749999999911
30,-1.2103125,-1.19453125,-1.19859375,0.004062499999999858
31,-1.2103125,-1.2071875,-1.20046875,-0.006718750000000107
32,-1.2103125,-1.2065625,-1.184375,-0.022187500000000027
33,-1.2103125,-1.2209375,-1.190625,-0.030312499999999964
34,-1.2103125,-1.22234375,-1.1771875,-0.04515625000000001
35,-1.2103125,-1.19015625,-1.1865625,-0.003593750000000062
