layer,baseline_mean,positive_mean,negative_mean,delta
15,1.9125,2.11625,1.825625,0.2906249999999999
16,1.9125,2.0609375,1.816875,0.24406250000000007
17,1.9125,2.16125,1.720625,0.4406249999999998
18,1.9125,2.1475,1.656875,0.49062499999999987
19,1.9125,2.11,1.700625,0.4093749999999998
20,1.9125,2.17,1.7003125,0.46968750000000004
21,1.9125,2.13625,1.7475,0.38874999999999993
22,1.9125,2.090625,1.71625,0.3743750000000001
23,1.9125,2.1175,1.6759375,0.4415625000000001
24,1.9125,1.816875,1.3803125,0.43656249999999996
25,1.9125,2.0975,0.710625,1.3868750000000003
26,1.9125,1.9175,1.0009375,0.9165625
27,1.9125,1.23125,1.259375,-0.028124999999999956
28,1.9125,1.3109375,1.396875,-0.0859375
29,1.9125,1.79125,0.908125,0.883125
30,1.9125,1.6175,1.04,0.5774999999999999
31,1.9125,1.505,1.370625,0.1343749999999999
32,1.9125,1.4,1.435,-0.03500000000000014
33,1.9125,1.145,1.21375,-0.06875000000000009
34,1.9125,1.428125,1.044375,0.38375000000000004
35,1.9125,0.8725,0.46,0.41250000000000003
36,1.9125,2.2014453125,0.391875,1.8095703125000002
37,1.9125,2.2475701904296876,0.385,1.8625701904296876
38,1.9125,2.98333251953125,0.7775,2.20583251953125
39,1.9125,2.1103125,1.33625,0.7740625000000001
40,1.9125,2.28369140625,1.29125,0.99244140625
41,1.9125,1.8703125,1.538125,0.3321875000000001
42,1.9125,1.5665625,1.545,0.02156250000000015
43,1.9125,1.95375,1.4775,0.47625000000000006
44,1.9125,1.908125,1.5278125,0.38031250000000005
45,1.9125,1.79875,1.5515625,0.24718750000000012
46,1.9125,1.760625,1.4184375,0.3421875000000001
47,1.9125,1.7625,1.75125,0.011249999999999982
