layer,baseline_mean,positive_mean,negative_mean,delta
11,2.37,2.38625,2.354375,0.031874999999999876
12,2.37,2.471875,2.254375,0.2174999999999998
13,2.37,2.381875,2.35625,0.025624999999999787
14,2.37,2.3325,2.3975,-0.06499999999999995
15,2.37,2.37,2.326875,0.0431250000000003
16,2.37,2.464375,2.196875,0.26750000000000007
17,2.37,2.513125,1.969375,0.54375
18,2.37,1.98,1.26875,0.7112499999999999
19,2.37,2.3275,1.199375,1.128125
20,2.37,1.64,1.288125,0.35187499999999994
21,2.37,1.7525,1.00125,0.75125
22,2.37,1.9725,1.89125,0.08124999999999982
23,2.37,2.3725,1.854375,0.518125
24,2.37,2.81375,1.534375,1.2793750000000002
25,2.37,2.96375,1.5025,1.4612500000000002
26,2.37,2.715,1.598125,1.1168749999999998
27,2.37,2.7425,1.699375,1.043125
28,2.37,2.9675,1.474375,1.4931249999999998
29,2.37,2.8675,1.480625,1.386875
30,2.37,2.63375,1.645,0.98875
31,2.37,2.6775,1.67875,0.9987500000000002
32,2.37,2.41,1.870625,0.5393750000000002
33,2.37,2.2,1.919375,0.2806250000000001
34,2.37,2.430625,1.951875,0.47875
35,2.37,2.285625,2.26875,0.016875000000000195
