layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
13,0.6438356164383562,0.7,0.6857142857142857,0.014285714285714235,0.71
14,0.6575342465753424,0.6666666666666666,0.6805555555555556,-0.01388888888888895,0.7133333333333334
15,0.6901408450704225,0.647887323943662,0.6621621621621622,-0.014274838218500174,0.72
16,0.647887323943662,0.6756756756756757,0.676056338028169,-0.0003806623524933439,0.72
17,0.6621621621621622,0.6944444444444444,0.647887323943662,0.04655712050078242,0.7233333333333334
18,0.684931506849315,0.6933333333333334,0.6527777777777778,0.04055555555555557,0.7333333333333333
19,0.6710526315789473,0.7536231884057971,0.6086956521739131,0.14492753623188404,0.7133333333333334
20,0.7,0.7714285714285715,0.5797101449275363,0.1917184265010352,0.6966666666666667
21,0.6857142857142857,0.7746478873239436,0.5694444444444444,0.2052034428794992,0.71
22,0.6716417910447762,0.8,0.6111111111111112,0.18888888888888888,0.68
23,0.7014925373134329,0.7702702702702703,0.5277777777777778,0.2424924924924925,0.71
24,0.6764705882352942,0.7638888888888888,0.5428571428571428,0.22103174603174602,0.7
25,0.647887323943662,0.7671232876712328,0.6142857142857143,0.1528375733855185,0.7133333333333334
26,0.6428571428571429,0.7083333333333334,0.6,0.10833333333333339,0.7066666666666667
27,0.6857142857142857,0.7285714285714285,0.6338028169014085,0.09476861167002004,0.7033333333333334
28,0.7014925373134329,0.6944444444444444,0.6388888888888888,0.05555555555555558,0.7033333333333334
29,0.6901408450704225,0.7014925373134329,0.6515151515151515,0.04997738579828137,0.68
30,0.6527777777777778,0.6338028169014085,0.6666666666666666,-0.032863849765258135,0.7066666666666667
31,0.6764705882352942,0.6521739130434783,0.7083333333333334,-0.0561594202898551,0.6966666666666667
32,0.6712328767123288,0.6865671641791045,0.6911764705882353,-0.00460930640913082,0.6933333333333334
33,0.6666666666666666,0.6764705882352942,0.6714285714285714,0.005042016806722782,0.7
34,0.6619718309859155,0.6944444444444444,0.6712328767123288,0.023211567732115634,0.72
35,0.6417910447761194,0.6388888888888888,0.6901408450704225,-0.051251956181533664,0.7
36,0.6986301369863014,0.6712328767123288,0.6231884057971014,0.048044470915227344,0.7166666666666667
37,0.647887323943662,0.625,0.6567164179104478,-0.03171641791044777,0.7
38,0.704225352112676,0.6231884057971014,0.7058823529411765,-0.08269394714407508,0.6933333333333334
39,0.6714285714285714,0.6571428571428571,0.6716417910447762,-0.014498933901919031,0.69
