layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
21,0.7126436781609196,0.6741573033707865,0.6785714285714286,-0.004414125200642105,0.8666666666666667
22,0.6705882352941176,0.7111111111111111,0.6593406593406593,0.05177045177045181,0.8866666666666667
23,0.6666666666666666,0.6705882352941176,0.6704545454545454,0.00013368983957218195,0.8566666666666667
24,0.6555555555555556,0.7126436781609196,0.6585365853658537,0.05410709279506587,0.8633333333333333
25,0.6966292134831461,0.6,0.7333333333333333,-0.1333333333333333,0.88
26,0.7386363636363636,0.6363636363636364,0.6470588235294118,-0.010695187165775444,0.87
27,0.735632183908046,0.7011494252873564,0.7126436781609196,-0.011494252873563204,0.87
28,0.6923076923076923,0.7241379310344828,0.6538461538461539,0.07029177718832891,0.8533333333333334
29,0.6987951807228916,0.7126436781609196,0.7272727272727273,-0.014629049111807735,0.86
30,0.6222222222222222,0.686046511627907,0.686046511627907,0.0,0.8733333333333333
31,0.6976744186046512,0.6091954022988506,0.6551724137931034,-0.04597701149425282,0.8666666666666667
32,0.7441860465116279,0.6904761904761905,0.6941176470588235,-0.0036414565826330403,0.85
33,0.7111111111111111,0.6966292134831461,0.7228915662650602,-0.026262352781914133,0.8733333333333333
34,0.7325581395348837,0.6629213483146067,0.6666666666666666,-0.0037453183520599342,0.8733333333333333
35,0.7241379310344828,0.7011494252873564,0.6785714285714286,0.02257799671592775,0.86
36,0.686046511627907,0.6781609195402298,0.7875,-0.10933908045977014,0.8433333333333334
37,0.7045454545454546,0.6666666666666666,0.6896551724137931,-0.02298850574712652,0.8733333333333333
38,0.7241379310344828,0.6813186813186813,0.7176470588235294,-0.036328377504848075,0.8766666666666667
39,0.7176470588235294,0.7386363636363636,0.759493670886076,-0.020857307249712354,0.84
40,0.6818181818181818,0.6666666666666666,0.686046511627907,-0.019379844961240345,0.88
41,0.7108433734939759,0.75,0.627906976744186,0.12209302325581395,0.8566666666666667
42,0.7261904761904762,0.6590909090909091,0.7560975609756098,-0.0970066518847007,0.8466666666666667
43,0.7191011235955056,0.6774193548387096,0.4883720930232558,0.18904726181545384,0.8933333333333333
44,0.7272727272727273,0.6666666666666666,0.5,0.16666666666666663,0.9033333333333333
45,0.6363636363636364,0.6043956043956044,0.46987951807228917,0.1345160863233152,0.8733333333333333
46,0.7241379310344828,0.6354166666666666,0.44594594594594594,0.1894707207207207,0.8566666666666667
47,0.6896551724137931,0.6947368421052632,0.5432098765432098,0.15152696556205336,0.8766666666666667
48,0.6666666666666666,0.6956521739130435,0.5362318840579711,0.1594202898550724,0.8266666666666667
49,0.6547619047619048,0.7244897959183674,0.5333333333333333,0.19115646258503405,0.8566666666666667
50,0.7241379310344828,0.6333333333333333,0.6933333333333334,-0.06000000000000005,0.84
51,0.6511627906976745,0.6956521739130435,0.7012987012987013,-0.005646527385657851,0.85
52,0.7093023255813954,0.6896551724137931,0.6363636363636364,0.053291536050156796,0.87
53,0.6590909090909091,0.7407407407407407,0.6941176470588235,0.046623093681917194,0.8466666666666667
54,0.7058823529411765,0.788235294117647,0.6404494382022472,0.14778585591539983,0.8633333333333333
55,0.7045454545454546,0.7840909090909091,0.6590909090909091,0.125,0.88
56,0.686046511627907,0.7831325301204819,0.5957446808510638,0.1873878492694181,0.8766666666666667
57,0.6941176470588235,0.7857142857142857,0.6551724137931034,0.13054187192118227,0.8533333333333334
58,0.6853932584269663,0.7349397590361446,0.6222222222222222,0.11271753681392238,0.8733333333333333
59,0.6853932584269663,0.6976744186046512,0.6444444444444445,0.053229974160206694,0.8833333333333333
60,0.7142857142857143,0.7294117647058823,0.6436781609195402,0.0857336037863421,0.8533333333333334
61,0.6551724137931034,0.7176470588235294,0.6818181818181818,0.03582887700534765,0.8666666666666667
62,0.7023809523809523,0.7333333333333333,0.6931818181818182,0.04015151515151505,0.8733333333333333
63,0.6818181818181818,0.6436781609195402,0.725,-0.08132183908045976,0.85
