model,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
14B,25,-1.0,0,(B),-48.5,-48.25,-0.25,0.25
14B,25,-1.0,1,(A),-50.0,-47.75,-2.25,-2.25
14B,25,-1.0,2,(B),-47.0,-49.0,2.0,-2.0
14B,25,-1.0,3,(A),-50.5,-48.75,-1.75,-1.75
14B,25,-1.0,4,(A),-45.75,-49.75,4.0,4.0
14B,25,-1.0,5,(A),-48.5,-48.5,0.0,0.0
14B,25,-1.0,6,(B),-40.0,-42.25,2.25,-2.25
14B,25,-1.0,7,(B),-45.0,-45.5,0.5,-0.5
14B,25,-1.0,8,(A),-48.25,-49.0,0.75,0.75
14B,25,-1.0,9,(B),-49.5,-48.25,-1.25,1.25
14B,25,-1.0,10,(B),-50.25,-57.75,7.5,-7.5
14B,25,-1.0,11,(A),-48.75,-48.25,-0.5,-0.5
14B,25,-1.0,12,(A),-40.75,-44.75,4.0,4.0
14B,25,-1.0,13,(A),-41.0,-44.5,3.5,3.5
14B,25,-1.0,14,(B),-42.75,-45.0,2.25,-2.25
14B,25,-1.0,15,(B),-47.75,-47.25,-0.5,0.5
14B,25,-1.0,16,(A),-45.0,-46.25,1.25,1.25
14B,25,-1.0,17,(A),-44.0,-43.5,-0.5,-0.5
14B,25,-1.0,18,(A),-46.5,-42.75,-3.75,-3.75
14B,25,-1.0,19,(A),-48.75,-49.25,0.5,0.5
14B,25,-1.0,20,(B),-47.0,-48.0,1.0,-1.0
14B,25,-1.0,21,(B),-48.75,-52.25,3.5,-3.5
14B,25,-1.0,22,(A),-52.0,-49.75,-2.25,-2.25
14B,25,-1.0,23,(B),-45.75,-46.5,0.75,-0.75
14B,25,-1.0,24,(A),-51.25,-49.0,-2.25,-2.25
14B,25,-1.0,25,(B),-45.0,-48.5,3.5,-3.5
14B,25,-1.0,26,(A),-48.5,-48.5,0.0,0.0
14B,25,-1.0,27,(A),-43.0,-46.25,3.25,3.25
14B,25,-1.0,28,(A),-49.25,-46.25,-3.0,-3.0
14B,25,-1.0,29,(A),-37.5,-49.75,12.25,12.25
14B,25,-1.0,30,(B),-48.25,-49.5,1.25,-1.25
14B,25,-1.0,31,(B),-46.25,-49.0,2.75,-2.75
14B,25,-1.0,32,(B),-47.5,-48.25,0.75,-0.75
14B,25,-1.0,33,(B),-47.25,-51.0,3.75,-3.75
14B,25,-1.0,34,(B),-48.75,-50.75,2.0,-2.0
14B,25,-1.0,35,(B),-45.5,-47.0,1.5,-1.5
