model,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
14B,25,-1.0,0,(B),-0.0038604736328125,-12.875,12.871139526367188,-12.871139526367188
14B,25,-1.0,1,(A),-1.8359375,-0.337890625,-1.498046875,-1.498046875
14B,25,-1.0,2,(B),-0.2060546875,-8.9375,8.7314453125,-8.7314453125
14B,25,-1.0,3,(A),-0.435546875,-1.0625,0.626953125,0.626953125
14B,25,-1.0,4,(A),-8.5,-0.0244140625,-8.4755859375,-8.4755859375
14B,25,-1.0,5,(A),-9.125,-4.53125,-4.59375,-4.59375
14B,25,-1.0,6,(B),-13.625,-20.625,7.0,-7.0
14B,25,-1.0,7,(B),-0.0023345947265625,-15.125,15.122665405273438,-15.122665405273438
14B,25,-1.0,8,(A),-2.890625,-0.1484375,-2.7421875,-2.7421875
14B,25,-1.0,9,(B),-0.419921875,-10.8125,10.392578125,-10.392578125
14B,25,-1.0,10,(B),-14.625,-20.125,5.5,-5.5
14B,25,-1.0,11,(A),-0.103515625,-3.734375,3.630859375,3.630859375
14B,25,-1.0,12,(A),-12.0,-0.85546875,-11.14453125,-11.14453125
14B,25,-1.0,13,(A),-15.625,-17.875,2.25,2.25
14B,25,-1.0,14,(B),-9.25,-18.375,9.125,-9.125
14B,25,-1.0,15,(B),-7.375,-13.5,6.125,-6.125
14B,25,-1.0,16,(A),-12.0,-13.0,1.0,1.0
14B,25,-1.0,17,(A),-9.9375,-3.578125,-6.359375,-6.359375
14B,25,-1.0,18,(A),-5.875,-14.5,8.625,8.625
14B,25,-1.0,19,(A),-6.03125,-8.375,2.34375,2.34375
14B,25,-1.0,20,(B),-0.0064697265625,-7.0,6.9935302734375,-6.9935302734375
14B,25,-1.0,21,(B),-0.10546875,-5.46875,5.36328125,-5.36328125
14B,25,-1.0,22,(A),-2.421875,-0.1708984375,-2.2509765625,-2.2509765625
14B,25,-1.0,23,(B),-1.7421875,-8.875,7.1328125,-7.1328125
14B,25,-1.0,24,(A),-0.796875,-0.796875,0.0,0.0
14B,25,-1.0,25,(B),-1.8125,-4.9375,3.125,-3.125
14B,25,-1.0,26,(A),-9.25,-6.75,-2.5,-2.5
14B,25,-1.0,27,(A),-6.09375,-2.203125,-3.890625,-3.890625
14B,25,-1.0,28,(A),-9.875,-12.125,2.25,2.25
14B,25,-1.0,29,(A),-16.75,-20.375,3.625,3.625
14B,25,-1.0,30,(B),-8.9375,-15.1875,6.25,-6.25
14B,25,-1.0,31,(B),-6.3125,-9.4375,3.125,-3.125
